"agent","agent_is","weight","hierarchy_belongs","source"
"Past Decode Reg. + AWD-LSTM-MoS + dyn. eval.","DeepNN","1","AI","Past Decode Reg. + AWD-LSTM-MoS + dyn. eval."
"AWD-LSTM-MoS + dynamic eval","DeepNN","1","AI","AWD-LSTM-MoS + dynamic eval"
"AWD-LSTM + dynamic eval","DeepNN","1","AI","AWD-LSTM + dynamic eval"
"AWD-LSTM-DOC + Partial Shuffle","DeepNN","1","AI","AWD-LSTM-DOC + Partial Shuffle"
"AWD-LSTM-DOC","DeepNN","1","AI","AWD-LSTM-DOC"
"AWD-LSTM + continuous cache pointer","DeepNN","1","AI","AWD-LSTM + continuous cache pointer"
"AWD-LSTM-MoS + Partial Shuffle","DeepNN","1","AI","AWD-LSTM-MoS + Partial Shuffle"
"Trellis Network","DeepNN","1","AI","Trellis Network"
"AWD-LSTM-MoS","DeepNN","1","AI","AWD-LSTM-MoS"
"Transformer-XL","DeepNN","1","AI","Transformer-XL"
"2-layer skip-LSTM + dropout tuning ","DeepNN","1","AI","2-layer skip-LSTM + dropout tuning "
"Differentiable NAS","DeepNN","1","AI","Differentiable NAS"
"AWD-LSTM 3-layer with Fraternal dropout","DeepNN","1","AI","AWD-LSTM 3-layer with Fraternal dropout"
"AWD-LSTM","DeepNN","1","AI","AWD-LSTM"
"Efficient NAS","DeepNN","1","AI","Efficient NAS"
"NAS Cell","DeepNN","1","AI","NAS Cell"
"Recurrent highway networks","DeepNN","1","AI","Recurrent highway networks"
"Tied Variational LSTM + augmented loss","DeepNN","1","AI","Tied Variational LSTM + augmented loss"
"Transformer-XL - 24 layers","DeepNN","1","AI","Transformer-XL - 24 layers"
"Transformer-XL - 18 layers","DeepNN","1","AI","Transformer-XL - 18 layers"
"64-layer Transformer","DeepNN","1","AI","64-layer Transformer"
"Transformer-XL - 12 layers","DeepNN","1","AI","Transformer-XL - 12 layers"
"12-layer Transformer","DeepNN","1","AI","12-layer Transformer"
"Large mLSTM","DeepNN","1","AI","Large mLSTM"
"Large FS-LSTM-4","DeepNN","1","AI","Large FS-LSTM-4"
"LN HM-LSTM","DeepNN","1","AI","LN HM-LSTM"
"Hypernetworks","DeepNN","1","AI","Hypernetworks"
"Transformer-XL Large","DeepNN","1","AI","Transformer-XL Large"
"Transformer with tied adaptive embeddings","DeepNN","1","AI","Transformer with tied adaptive embeddings"
"Transformer-XL Standard","DeepNN","1","AI","Transformer-XL Standard"
"LSTM + Hebbian + Cache + MbPA","DeepNN","1","AI","LSTM + Hebbian + Cache + MbPA"
"4-layer QRNN","DeepNN","1","AI","4-layer QRNN"
"LSTM + Hebbian","DeepNN","1","AI","LSTM + Hebbian"
"Gated CNN","DeepNN","1","AI","Gated CNN"
"Neural cache model","DeepNN","1","AI","Neural cache model"
"Temporal CNN","DeepNN","1","AI","Temporal CNN"
"Adaptive Input Very Large","DeepNN","1","AI","Adaptive Input Very Large"
"Transformer-XL Base","DeepNN","1","AI","Transformer-XL Base"
"Adaptive Input Large","DeepNN","1","AI","Adaptive Input Large"
"Mesh Tensorflow","DeepNN","1","AI","Mesh Tensorflow"
"DynamicConv","DeepNN","1","AI","DynamicConv"
"High-Budget MoE","DeepNN","1","AI","High-Budget MoE"
"LSTM-8192-1024 + CNN Input","DeepNN","1","AI","LSTM-8192-1024 + CNN Input"
"LSTM-8192-1024","DeepNN","1","AI","LSTM-8192-1024"
" GCNN-14 bottleneck","DeepNN","1","AI"," GCNN-14 bottleneck"
"Low-Budget MoE","DeepNN","1","AI","Low-Budget MoE"
"BIG G-LSTM-2","DeepNN","1","AI","BIG G-LSTM-2"
"RNN-1024 + 9 Gram","DeepNN","1","AI","RNN-1024 + 9 Gram"
"Sparse Non-Negative","DeepNN","1","AI","Sparse Non-Negative"
"3-layer AWD-LSTM","DeepNN","1","AI","3-layer AWD-LSTM"
"6-layer QRNN","DeepNN","1","AI","6-layer QRNN"
"FS-LSTM-4","DeepNN","1","AI","FS-LSTM-4"
"FS-LSTM-2","DeepNN","1","AI","FS-LSTM-2"
"NASCell","DeepNN","1","AI","NASCell"
"2-layer Norm HyperLSTM","DeepNN","1","AI","2-layer Norm HyperLSTM"
"64-layer Character Transformer Model","DeepNN","1","AI","64-layer Character Transformer Model"
"12-layer Character Transformer Model","DeepNN","1","AI","12-layer Character Transformer Model"
"mLSTM + dynamic eval","DeepNN","1","AI","mLSTM + dynamic eval"
"Large mLSTM +emb +WN +VD","DeepNN","1","AI","Large mLSTM +emb +WN +VD"
"Large RHN","DeepNN","1","AI","Large RHN"
"LayerNorm HM-LSTM","DeepNN","1","AI","LayerNorm HM-LSTM"
"Unregularised mLSTM","DeepNN","1","AI","Unregularised mLSTM"
"24-layer Transformer-XL","DeepNN","1","AI","24-layer Transformer-XL"
"18-layer Transformer-XL","DeepNN","1","AI","18-layer Transformer-XL"
"12-layer Transformer-XL","DeepNN","1","AI","12-layer Transformer-XL"
"FRAGE + AWD-LSTM-MoS + dynamic eval","DeepNN","1","AI","FRAGE + AWD-LSTM-MoS + dynamic eval"
"MFS baseline","DeepNN","1","AI","MFS baseline"
"supWSD","DeepNN","1","AI","supWSD"
"ELMo","DeepNN","1","AI","ELMo"
"context2vec","DeepNN","1","AI","context2vec"
"Bi-LSTM<sub>att+LEX+POS<sub>","DeepNN","1","AI","Bi-LSTM<sub>att+LEX+POS<sub>"
"Bi-LSTM<sub>att+LEX<sub>","DeepNN","1","AI","Bi-LSTM<sub>att+LEX<sub>"
"GAS","DeepNN","1","AI","GAS"
"GAS<sub>ext<sub>","DeepNN","1","AI","GAS<sub>ext<sub>"
"supWSD<sub>emb<sub>","DeepNN","1","AI","supWSD<sub>emb<sub>"
"SemCor+WNGT, vocabulary reduced, ensemble","DeepNN","1","AI","SemCor+WNGT, vocabulary reduced, ensemble"
"LSTM (T:SemCor)","DeepNN","1","AI","LSTM (T:SemCor)"
"LSTMLP (T:SemCor, U:OMSTI)","DeepNN","1","AI","LSTMLP (T:SemCor, U:OMSTI)"
"LSTMLP (T:SemCor, U:1K)","DeepNN","1","AI","LSTMLP (T:SemCor, U:1K)"
"LSTMLP (T:OMSTI, U:1K)","DeepNN","1","AI","LSTMLP (T:OMSTI, U:1K)"
"LSTM (T:OMSTI)","DeepNN","1","AI","LSTM (T:OMSTI)"
"GASext (Linear)","DeepNN","1","AI","GASext (Linear)"
"GASext (Concatenation)","DeepNN","1","AI","GASext (Concatenation)"
"GAS (Concatenation)","DeepNN","1","AI","GAS (Concatenation)"
"GAS (Linear)","DeepNN","1","AI","GAS (Linear)"
"WSD-TM","DeepNN","1","AI","WSD-TM"
"Babelfy","DeepNN","1","AI","Babelfy"
"WN 1st sense baseline","DeepNN","1","AI","WN 1st sense baseline"
"UKB<sub>ppr_w2w-nf<sub>","DeepNN","1","AI","UKB<sub>ppr_w2w-nf<sub>"
"UKB<sub>ppr_w2w<sub>","DeepNN","1","AI","UKB<sub>ppr_w2w<sub>"
"ESIM + ELMo","DeepNN","1","AI","ESIM + ELMo"
"ESIM + GloVe","DeepNN","1","AI","ESIM + GloVe"
"Word-LM-partial","DeepNN","1","AI","Word-LM-partial"
"Char-LM-partial","DeepNN","1","AI","Char-LM-partial"
"USSM + Supervised DeepNet + KB","DeepNN","1","AI","USSM + Supervised DeepNet + KB"
"BiRNN 100d","DeepNN","1","AI","BiRNN 100d"
"Cascaded-MTL","DeepNN","1","AI","Cascaded-MTL"
"BiLSTM","DeepNN","1","AI","BiLSTM"
"BiRNN + LM Evaluator","DeepNN","1","AI","BiRNN + LM Evaluator"
"CESI","DeepNN","1","AI","CESI"
"Galárraga et al., 2014","DeepNN","1","AI","Galárraga et al., 2014"
"Field-gating Seq2seq + dual attention","DeepNN","1","AI","Field-gating Seq2seq + dual attention"
"Field-gating Seq2seq + dual attention + beam search","DeepNN","1","AI","Field-gating Seq2seq + dual attention + beam search"
"Table NLM","DeepNN","1","AI","Table NLM"
"Neural Content Planning + conditional copy","DeepNN","1","AI","Neural Content Planning + conditional copy"
"Encoder-decoder + conditional copy","DeepNN","1","AI","Encoder-decoder + conditional copy"
"GCN EC","DeepNN","1","AI","GCN EC"
"GCN + feat","DeepNN","1","AI","GCN + feat"
"MrRNN Act.-Ent.","DeepNN","1","AI","MrRNN Act.-Ent."
"LeakGAN","DeepNN","1","AI","LeakGAN"
"RankGAN","DeepNN","1","AI","RankGAN"
"SeqGAN","DeepNN","1","AI","SeqGAN"
"Aggressive VAE","DeepNN","1","AI","Aggressive VAE"
"SA-VAE","DeepNN","1","AI","SA-VAE"
"CNN-VAE","DeepNN","1","AI","CNN-VAE"
"AEM+Attention","DeepNN","1","AI","AEM+Attention"
"Graph2Seq","DeepNN","1","AI","Graph2Seq"
"STWGAN-GP","DeepNN","1","AI","STWGAN-GP"
"X-BiLSTM","DeepNN","1","AI","X-BiLSTM"
"X-CBOW","DeepNN","1","AI","X-CBOW"
"Finetuned Transformer LM","DeepNN","1","AI","Finetuned Transformer LM"
"Hierarchical BiLSTM Max Pooling","DeepNN","1","AI","Hierarchical BiLSTM Max Pooling"
"CAFE","DeepNN","1","AI","CAFE"
"aESIM","DeepNN","1","AI","aESIM"
"Multi-task BiLSTM + Attn","DeepNN","1","AI","Multi-task BiLSTM + Attn"
"V-BiMPM","DeepNN","1","AI","V-BiMPM"
"Densely-Connected Recurrent and Co-Attentive Network Ensemble","DeepNN","1","AI","Densely-Connected Recurrent and Co-Attentive Network Ensemble"
"Fine-Tuned LM-Pretrained Transformer","DeepNN","1","AI","Fine-Tuned LM-Pretrained Transformer"
"300D DMAN Ensemble","DeepNN","1","AI","300D DMAN Ensemble"
"150D Multiway Attention Network Ensemble","DeepNN","1","AI","150D Multiway Attention Network Ensemble"
"450D DR-BiLSTM Ensemble","DeepNN","1","AI","450D DR-BiLSTM Ensemble"
"300D CAFE Ensemble","DeepNN","1","AI","300D CAFE Ensemble"
"ESIM + ELMo Ensemble","DeepNN","1","AI","ESIM + ELMo Ensemble"
"KIM Ensemble","DeepNN","1","AI","KIM Ensemble"
"SLRC","DeepNN","1","AI","SLRC"
"Densely-Connected Recurrent and Co-Attentive Network","DeepNN","1","AI","Densely-Connected Recurrent and Co-Attentive Network"
"448D Densely Interactive Inference Network (DIIN, code) Ensemble","DeepNN","1","AI","448D Densely Interactive Inference Network (DIIN, code) Ensemble"
"300D DMAN","DeepNN","1","AI","300D DMAN"
"BiMPM Ensemble","DeepNN","1","AI","BiMPM Ensemble"
"KIM","DeepNN","1","AI","KIM"
"600D ESIM + 300D Syntactic TreeLSTM","DeepNN","1","AI","600D ESIM + 300D Syntactic TreeLSTM"
"450D DR-BiLSTM","DeepNN","1","AI","450D DR-BiLSTM"
"Stochastic Answer Network","DeepNN","1","AI","Stochastic Answer Network"
"300D CAFE","DeepNN","1","AI","300D CAFE"
"150D Multiway Attention Network","DeepNN","1","AI","150D Multiway Attention Network"
"Biattentive Classification Network + CoVe + Char","DeepNN","1","AI","Biattentive Classification Network + CoVe + Char"
"448D Densely Interactive Inference Network (DIIN, code)","DeepNN","1","AI","448D Densely Interactive Inference Network (DIIN, code)"
"300D re-read LSTM","DeepNN","1","AI","300D re-read LSTM"
"2400D Multiple-Dynamic Self-Attention Model","DeepNN","1","AI","2400D Multiple-Dynamic Self-Attention Model"
"300D Full tree matching NTI-SLSTM-LSTM w global attention","DeepNN","1","AI","300D Full tree matching NTI-SLSTM-LSTM w global attention"
"300D 2-layer Bi-CAS-LSTM","DeepNN","1","AI","300D 2-layer Bi-CAS-LSTM"
"200D decomposable attention model with intra-sentence attention","DeepNN","1","AI","200D decomposable attention model with intra-sentence attention"
"600D Dynamic Self-Attention Model","DeepNN","1","AI","600D Dynamic Self-Attention Model"
"CBS-1 + ESIM","DeepNN","1","AI","CBS-1 + ESIM"
"512D Dynamic Meta-Embeddings","DeepNN","1","AI","512D Dynamic Meta-Embeddings"
"600D BiLSTM with generalized pooling","DeepNN","1","AI","600D BiLSTM with generalized pooling"
"600D Hierarchical BiLSTM with Max Pooling (HBMP, code)","DeepNN","1","AI","600D Hierarchical BiLSTM with Max Pooling (HBMP, code)"
"Densely-Connected Recurrent and Co-Attentive Network (encoder)","DeepNN","1","AI","Densely-Connected Recurrent and Co-Attentive Network (encoder)"
"300D Reinforced Self-Attention Network","DeepNN","1","AI","300D Reinforced Self-Attention Network"
"Distance-based Self-Attention Network","DeepNN","1","AI","Distance-based Self-Attention Network"
"200D decomposable attention model","DeepNN","1","AI","200D decomposable attention model"
"450D LSTMN with deep attention fusion","DeepNN","1","AI","450D LSTMN with deep attention fusion"
"300D mLSTM word-by-word attention model","DeepNN","1","AI","300D mLSTM word-by-word attention model"
"600D Gumbel TreeLSTM encoders","DeepNN","1","AI","600D Gumbel TreeLSTM encoders"
"600D Residual stacked encoders","DeepNN","1","AI","600D Residual stacked encoders"
"300D CAFE (no cross-sentence attention)","DeepNN","1","AI","300D CAFE (no cross-sentence attention)"
"1200D REGMAPR (Base+Reg)","DeepNN","1","AI","1200D REGMAPR (Base+Reg)"
"300D Residual stacked encoders","DeepNN","1","AI","300D Residual stacked encoders"
"300D LSTMN with deep attention fusion","DeepNN","1","AI","300D LSTMN with deep attention fusion"
"300D Gumbel TreeLSTM encoders","DeepNN","1","AI","300D Gumbel TreeLSTM encoders"
"300D Directional self-attention network encoders","DeepNN","1","AI","300D Directional self-attention network encoders"
"600D (300+300) Deep Gated Attn. BiLSTM encoders","DeepNN","1","AI","600D (300+300) Deep Gated Attn. BiLSTM encoders"
"300D MMA-NSE encoders with attention","DeepNN","1","AI","300D MMA-NSE encoders with attention"
"50D stacked TC-LSTMs","DeepNN","1","AI","50D stacked TC-LSTMs"
"600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc.","DeepNN","1","AI","600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc."
"300D NSE encoders","DeepNN","1","AI","300D NSE encoders"
"100D DF-LSTM","DeepNN","1","AI","100D DF-LSTM"
"4096D BiLSTM with max-pooling","DeepNN","1","AI","4096D BiLSTM with max-pooling"
"600D (300+300) BiLSTM encoders with intra-attention","DeepNN","1","AI","600D (300+300) BiLSTM encoders with intra-attention"
"100D LSTMs w word-by-word attention","DeepNN","1","AI","100D LSTMs w word-by-word attention"
"300D NTI-SLSTM-LSTM encoders","DeepNN","1","AI","300D NTI-SLSTM-LSTM encoders"
"600D (300+300) BiLSTM encoders","DeepNN","1","AI","600D (300+300) BiLSTM encoders"
"300D SPINN-PI encoders","DeepNN","1","AI","300D SPINN-PI encoders"
"300D Tree-based CNN encoders","DeepNN","1","AI","300D Tree-based CNN encoders"
"1024D GRU encoders w unsupervised skip-thoughts pre-training","DeepNN","1","AI","1024D GRU encoders w unsupervised skip-thoughts pre-training"
"300D LSTM encoders","DeepNN","1","AI","300D LSTM encoders"
"+ Unigram and bigram features","DeepNN","1","AI","+ Unigram and bigram features"
"100D LSTM encoders","DeepNN","1","AI","100D LSTM encoders"
"Unlexicalized features","DeepNN","1","AI","Unlexicalized features"
"Up-Down","DeepNN","1","AI","Up-Down"
"HDU-USYD-UNCC","DeepNN","1","AI","HDU-USYD-UNCC"
"DLAIT","DeepNN","1","AI","DLAIT"
"MCB","DeepNN","1","AI","MCB"
"d-LSTM+nI","DeepNN","1","AI","d-LSTM+nI"
"MCB+Att.","DeepNN","1","AI","MCB+Att."
"MCB 7 att.","DeepNN","1","AI","MCB 7 att."
"joint-loss","DeepNN","1","AI","joint-loss"
"MRN","DeepNN","1","AI","MRN"
"HQI+ResNet","DeepNN","1","AI","HQI+ResNet"
"FDA","DeepNN","1","AI","FDA"
"LSTM Q+I","DeepNN","1","AI","LSTM Q+I"
"iBOWIMG baseline","DeepNN","1","AI","iBOWIMG baseline"
"Graph VQA","DeepNN","1","AI","Graph VQA"
"Dualnet ensemble","DeepNN","1","AI","Dualnet ensemble"
"LSTM + global features","DeepNN","1","AI","LSTM + global features"
"LSTM blind","DeepNN","1","AI","LSTM blind"
"N2NMN","DeepNN","1","AI","N2NMN"
"MRN + global features","DeepNN","1","AI","MRN + global features"
"CNN-RNN","DeepNN","1","AI","CNN-RNN"
"SAN","DeepNN","1","AI","SAN"
"SMem-VQA","DeepNN","1","AI","SMem-VQA"
"Denoising QA","DeepNN","1","AI","Denoising QA"
"DecaProp","DeepNN","1","AI","DecaProp"
"R^3","DeepNN","1","AI","R^3"
"GA","DeepNN","1","AI","GA"
"BiDAF","DeepNN","1","AI","BiDAF"
"Bi-Attention + DCU-LSTM","DeepNN","1","AI","Bi-Attention + DCU-LSTM"
"AMANDA","DeepNN","1","AI","AMANDA"
"Focused Hierarchical RNN","DeepNN","1","AI","Focused Hierarchical RNN"
"ASR","DeepNN","1","AI","ASR"
"HyperQA","DeepNN","1","AI","HyperQA"
"PWIN","DeepNN","1","AI","PWIN"
"aNMM","DeepNN","1","AI","aNMM"
"Gated-Attention Reader","DeepNN","1","AI","Gated-Attention Reader"
"Stanford Attentive Reader","DeepNN","1","AI","Stanford Attentive Reader"
"Memory Networks (ensemble)","DeepNN","1","AI","Memory Networks (ensemble)"
"BERT (ensemble)","DeepNN","1","AI","BERT (ensemble)"
"nlnet (ensemble)","DeepNN","1","AI","nlnet (ensemble)"
"BERT (single model)","DeepNN","1","AI","BERT (single model)"
"QANet (ensemble)","DeepNN","1","AI","QANet (ensemble)"
"r-net (ensemble)","DeepNN","1","AI","r-net (ensemble)"
"MARS (ensemble)","DeepNN","1","AI","MARS (ensemble)"
"nlnet (single model)","DeepNN","1","AI","nlnet (single model)"
"MARS (single model)","DeepNN","1","AI","MARS (single model)"
"Reinforced Mnemonic Reader + A2D (ensemble model)","DeepNN","1","AI","Reinforced Mnemonic Reader + A2D (ensemble model)"
"r-net+ (ensemble)","DeepNN","1","AI","r-net+ (ensemble)"
"Hybrid AoA Reader (ensemble)","DeepNN","1","AI","Hybrid AoA Reader (ensemble)"
"QANet (single)","DeepNN","1","AI","QANet (single)"
"SLQA+ (ensemble)","DeepNN","1","AI","SLQA+ (ensemble)"
"Reinforced Mnemonic Reader (ensemble model)","DeepNN","1","AI","Reinforced Mnemonic Reader (ensemble model)"
"QANet (single model)","DeepNN","1","AI","QANet (single model)"
"AttentionReader+ (ensemble)","DeepNN","1","AI","AttentionReader+ (ensemble)"
"MMIPN","DeepNN","1","AI","MMIPN"
"Reinforced Mnemonic Reader + A2D (single model)","DeepNN","1","AI","Reinforced Mnemonic Reader + A2D (single model)"
"KACTEIL-MRC(GF-Net+) (ensemble)","DeepNN","1","AI","KACTEIL-MRC(GF-Net+) (ensemble)"
"Reinforced Mnemonic Reader + A2D + DA (single model)","DeepNN","1","AI","Reinforced Mnemonic Reader + A2D + DA (single model)"
"r-net (single model)","DeepNN","1","AI","r-net (single model)"
"BiDAF + Self Attention + ELMo (ensemble)","DeepNN","1","AI","BiDAF + Self Attention + ELMo (ensemble)"
"AVIQA+ (ensemble)","DeepNN","1","AI","AVIQA+ (ensemble)"
"SLQA+","DeepNN","1","AI","SLQA+"
"{EAZI} (ensemble)","DeepNN","1","AI","{EAZI} (ensemble)"
"EAZI+ (ensemble)","DeepNN","1","AI","EAZI+ (ensemble)"
"DNET (ensemble)","DeepNN","1","AI","DNET (ensemble)"
"Hybrid AoA Reader (single model)","DeepNN","1","AI","Hybrid AoA Reader (single model)"
"BiDAF + Self Attention + ELMo + A2D (single model)","DeepNN","1","AI","BiDAF + Self Attention + ELMo + A2D (single model)"
"r-net+ (single model)","DeepNN","1","AI","r-net+ (single model)"
"MAMCN+ (single model)","DeepNN","1","AI","MAMCN+ (single model)"
"SAN (ensemble model)","DeepNN","1","AI","SAN (ensemble model)"
"Reinforced Mnemonic Reader (single model)","DeepNN","1","AI","Reinforced Mnemonic Reader (single model)"
"SLQA+ (single model)","DeepNN","1","AI","SLQA+ (single model)"
"Interactive AoA Reader+ (ensemble)","DeepNN","1","AI","Interactive AoA Reader+ (ensemble)"
"MIR-MRC(F-Net) (single model)","DeepNN","1","AI","MIR-MRC(F-Net) (single model)"
"MDReader","DeepNN","1","AI","MDReader"
"FusionNet (ensemble)","DeepNN","1","AI","FusionNet (ensemble)"
"DCN+ (ensemble)","DeepNN","1","AI","DCN+ (ensemble)"
"KACTEIL-MRC(GF-Net+) (single model)","DeepNN","1","AI","KACTEIL-MRC(GF-Net+) (single model)"
"BiDAF + Self Attention + ELMo (single model)","DeepNN","1","AI","BiDAF + Self Attention + ELMo (single model)"
"aviqa (ensemble)","DeepNN","1","AI","aviqa (ensemble)"
"Conductor-net (ensemble)","DeepNN","1","AI","Conductor-net (ensemble)"
"KakaoNet (single model)","DeepNN","1","AI","KakaoNet (single model)"
"SLQA(ensemble)","DeepNN","1","AI","SLQA(ensemble)"
"MEMEN  (single model)","DeepNN","1","AI","MEMEN  (single model)"
"BiDAF++ with pair2vec (single model)","DeepNN","1","AI","BiDAF++ with pair2vec (single model)"
"MDReader0","DeepNN","1","AI","MDReader0"
"test","DeepNN","1","AI","test"
"Interactive AoA Reader (ensemble)","DeepNN","1","AI","Interactive AoA Reader (ensemble)"
"DNET (single model)","DeepNN","1","AI","DNET (single model)"
"RaSoR + TR + LM (single model)","DeepNN","1","AI","RaSoR + TR + LM (single model)"
"BiDAF++ (single model)","DeepNN","1","AI","BiDAF++ (single model)"
"AttentionReader+ (single)","DeepNN","1","AI","AttentionReader+ (single)"
"Jenga (ensemble)","DeepNN","1","AI","Jenga (ensemble)"
"{gqa} (single model)","DeepNN","1","AI","{gqa} (single model)"
"SAN (single model)","DeepNN","1","AI","SAN (single model)"
"VS^3-NET (single model)","DeepNN","1","AI","VS^3-NET (single model)"
"FRC (single model)","DeepNN","1","AI","FRC (single model)"
"QANet + data augmentation ×3","DeepNN","1","AI","QANet + data augmentation ×3"
"KAR (single model)","DeepNN","1","AI","KAR (single model)"
"smarnet (ensemble)","DeepNN","1","AI","smarnet (ensemble)"
"FusionNet (single model)","DeepNN","1","AI","FusionNet (single model)"
"AVIQA-v2 (single model)","DeepNN","1","AI","AVIQA-v2 (single model)"
"Interactive AoA Reader+ (single model)","DeepNN","1","AI","Interactive AoA Reader+ (single model)"
"RaSoR + TR (single model)","DeepNN","1","AI","RaSoR + TR (single model)"
"MEMEN (ensemble)","DeepNN","1","AI","MEMEN (ensemble)"
"Mixed model (ensemble)","DeepNN","1","AI","Mixed model (ensemble)"
"two-attention-self-attention (ensemble)","DeepNN","1","AI","two-attention-self-attention (ensemble)"
"DCN+ (single model)","DeepNN","1","AI","DCN+ (single model)"
"ReasoNet (ensemble)","DeepNN","1","AI","ReasoNet (ensemble)"
"eeAttNet (single model)","DeepNN","1","AI","eeAttNet (single model)"
"SSR-BiDAF","DeepNN","1","AI","SSR-BiDAF"
"SLQA (single model)","DeepNN","1","AI","SLQA (single model)"
"Conductor-net (single model)","DeepNN","1","AI","Conductor-net (single model)"
"Jenga (single model)","DeepNN","1","AI","Jenga (single model)"
"Mnemonic Reader (ensemble)","DeepNN","1","AI","Mnemonic Reader (ensemble)"
"S^3-Net (ensemble)","DeepNN","1","AI","S^3-Net (ensemble)"
"SEDT (ensemble model)","DeepNN","1","AI","SEDT (ensemble model)"
"SSAE (ensemble)","DeepNN","1","AI","SSAE (ensemble)"
"Multi-Perspective Matching (ensemble)","DeepNN","1","AI","Multi-Perspective Matching (ensemble)"
"BiDAF (ensemble)","DeepNN","1","AI","BiDAF (ensemble)"
"SEDT+BiDAF (ensemble)","DeepNN","1","AI","SEDT+BiDAF (ensemble)"
"Interactive AoA Reader (single model)","DeepNN","1","AI","Interactive AoA Reader (single model)"
"Conductor-net (single)","DeepNN","1","AI","Conductor-net (single)"
"jNet (ensemble)","DeepNN","1","AI","jNet (ensemble)"
"T-gating (ensemble)","DeepNN","1","AI","T-gating (ensemble)"
"two-attention-self-attention (single model)","DeepNN","1","AI","two-attention-self-attention (single model)"
"AVIQA (single model)","DeepNN","1","AI","AVIQA (single model)"
"BiDAF + Self Attention (single model)","DeepNN","1","AI","BiDAF + Self Attention (single model)"
"S^3-Net (single model)","DeepNN","1","AI","S^3-Net (single model)"
"QFASE","DeepNN","1","AI","QFASE"
"attention+self-attention (single model)","DeepNN","1","AI","attention+self-attention (single model)"
"Dynamic Coattention Networks (ensemble)","DeepNN","1","AI","Dynamic Coattention Networks (ensemble)"
"smarnet (single model)","DeepNN","1","AI","smarnet (single model)"
"SRU","DeepNN","1","AI","SRU"
"AttReader (single)","DeepNN","1","AI","AttReader (single)"
"DCN + Char + CoVe","DeepNN","1","AI","DCN + Char + CoVe"
"M-NET (single)","DeepNN","1","AI","M-NET (single)"
"Mnemonic Reader (single model)","DeepNN","1","AI","Mnemonic Reader (single model)"
"MAMCN (single model)","DeepNN","1","AI","MAMCN (single model)"
"FastQAExt","DeepNN","1","AI","FastQAExt"
"RaSoR (single model)","DeepNN","1","AI","RaSoR (single model)"
"Document Reader (single model)","DeepNN","1","AI","Document Reader (single model)"
"Ruminating Reader (single model)","DeepNN","1","AI","Ruminating Reader (single model)"
"jNet (single model)","DeepNN","1","AI","jNet (single model)"
"ReasoNet (single model)","DeepNN","1","AI","ReasoNet (single model)"
"Multi-Perspective Matching (single model)","DeepNN","1","AI","Multi-Perspective Matching (single model)"
"SimpleBaseline (single model)","DeepNN","1","AI","SimpleBaseline (single model)"
"SEDT+BiDAF (single model)","DeepNN","1","AI","SEDT+BiDAF (single model)"
"FastQA","DeepNN","1","AI","FastQA"
"PQMN (single model)","DeepNN","1","AI","PQMN (single model)"
"SEDT (single model)","DeepNN","1","AI","SEDT (single model)"
"T-gating (single model)","DeepNN","1","AI","T-gating (single model)"
"BiDAF (single model)","DeepNN","1","AI","BiDAF (single model)"
"Match-LSTM with Ans-Ptr (Boundary) (ensemble)","DeepNN","1","AI","Match-LSTM with Ans-Ptr (Boundary) (ensemble)"
"FABIR","DeepNN","1","AI","FABIR"
"AllenNLP BiDAF (single model)","DeepNN","1","AI","AllenNLP BiDAF (single model)"
"Iterative Co-attention Network","DeepNN","1","AI","Iterative Co-attention Network"
"newtest","DeepNN","1","AI","newtest"
"Dynamic Coattention Networks (single model)","DeepNN","1","AI","Dynamic Coattention Networks (single model)"
"Match-LSTM with Bi-Ans-Ptr (Boundary)","DeepNN","1","AI","Match-LSTM with Bi-Ans-Ptr (Boundary)"
"Unnamed submission by ravioncodalab","DeepNN","1","AI","Unnamed submission by ravioncodalab"
"OTF dict+spelling (single)","DeepNN","1","AI","OTF dict+spelling (single)"
"Attentive CNN context with LSTM","DeepNN","1","AI","Attentive CNN context with LSTM"
"OTF spelling (single)","DeepNN","1","AI","OTF spelling (single)"
"OTF spelling+lemma (single)","DeepNN","1","AI","OTF spelling+lemma (single)"
"Dynamic Chunk Reader","DeepNN","1","AI","Dynamic Chunk Reader"
"Fine-Grained Gating","DeepNN","1","AI","Fine-Grained Gating"
"Match-LSTM with Ans-Ptr (Boundary)","DeepNN","1","AI","Match-LSTM with Ans-Ptr (Boundary)"
"Match-LSTM with Ans-Ptr (Sentence)","DeepNN","1","AI","Match-LSTM with Ans-Ptr (Sentence)"
"syntax, frame, coreference, and word embedding features","DeepNN","1","AI","syntax, frame, coreference, and word embedding features"
"BERT-joint","DeepNN","1","AI","BERT-joint"
"CFC","DeepNN","1","AI","CFC"
"Coref-GRU","DeepNN","1","AI","Coref-GRU"
"MHPGM + NOIC","DeepNN","1","AI","MHPGM + NOIC"
"QRN","DeepNN","1","AI","QRN"
"EntNet","DeepNN","1","AI","EntNet"
"DMN+","DeepNN","1","AI","DMN+"
"End-To-End Memory Networks","DeepNN","1","AI","End-To-End Memory Networks"
"RUM","DeepNN","1","AI","RUM"
"GORU","DeepNN","1","AI","GORU"
" RR","DeepNN","1","AI"," RR"
"ReMO","DeepNN","1","AI","ReMO"
