"task","task_is","weight","hierarchy_belongs","source","Description"
"SciCite","Sentence Classification","1","Natural Language Processing","paperswithcode",""
"PubMed 20k RCT","Sentence Classification","1","Natural Language Processing","paperswithcode",""
"ACL-ARC","Sentence Classification","1","Natural Language Processing","paperswithcode",""
"Paper Field","Sentence Classification","1","Natural Language Processing","paperswithcode",""
"ScienceCite","Sentence Classification","1","Natural Language Processing","paperswithcode",""
"WOS-11967","Document Classification","1","Natural Language Processing","paperswithcode",""
"WOS-5736","Document Classification","1","Natural Language Processing","paperswithcode",""
"WOS-46985","Document Classification","1","Natural Language Processing","paperswithcode",""
"Reuters-21578","Document Classification","1","Natural Language Processing","paperswithcode",""
"IMDb","Document Classification","1","Natural Language Processing","paperswithcode",""
"20NEWS","Document Classification","1","Natural Language Processing","paperswithcode",""
"IMDb","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"TREC-50","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"AG News","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"TREC-6","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"R52","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"20NEWS","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"Ohsumed","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"Yahoo! Answers","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"Sogou News","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"R8","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"DBpedia","Text Classification","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"New York Times Corpus","Relationship Extraction (Distant Supervised)","1","Natural Language Processing","paperswithcode","Relationship extraction is the task of extracting semantic relationships from a text. Extracted relationships usually
occur between two or more entities of a certain type (e.g. Person, Organisation, Location) and fall into a number of
semantic categories (e.g. married to, employed by, lives in)."
"ACE 2004","Nested Named Entity Recognition","1","Natural Language Processing","paperswithcode",""
"MSRA","Chinese Named Entity Recognition","1","Natural Language Processing","paperswithcode",""
"OntoNotes 4","Chinese Named Entity Recognition","1","Natural Language Processing","paperswithcode",""
"Weibo NER","Chinese Named Entity Recognition","1","Natural Language Processing","paperswithcode",""
"Resume NER","Chinese Named Entity Recognition","1","Natural Language Processing","paperswithcode",""
"SighanNER","Chinese Named Entity Recognition","1","Natural Language Processing","paperswithcode",""
"Long-tail emerging entities","Named Entity Recognition (NER)","1","Natural Language Processing","paperswithcode","Named entity recognition (NER) is the task of tagging entities in text with their corresponding type.
Approaches typically use BIO notation, which differentiates the beginning (B) and the inside (I) of entities.
O is used for non-entity tokens.

Example:

| Mark | Watney | visited | Mars |
| --- | ---| --- | --- |
| B-PER | I-PER | O | B-LOC |"
"CoNLL 2003 (English)","Named Entity Recognition (NER)","1","Natural Language Processing","paperswithcode","Named entity recognition (NER) is the task of tagging entities in text with their corresponding type.
Approaches typically use BIO notation, which differentiates the beginning (B) and the inside (I) of entities.
O is used for non-entity tokens.

Example:

| Mark | Watney | visited | Mars |
| --- | ---| --- | --- |
| B-PER | I-PER | O | B-LOC |"
"Ontonotes v5 (English)","Named Entity Recognition (NER)","1","Natural Language Processing","paperswithcode","Named entity recognition (NER) is the task of tagging entities in text with their corresponding type.
Approaches typically use BIO notation, which differentiates the beginning (B) and the inside (I) of entities.
O is used for non-entity tokens.

Example:

| Mark | Watney | visited | Mars |
| --- | ---| --- | --- |
| B-PER | I-PER | O | B-LOC |"
"SciERC","Named Entity Recognition (NER)","1","Natural Language Processing","paperswithcode","Named entity recognition (NER) is the task of tagging entities in text with their corresponding type.
Approaches typically use BIO notation, which differentiates the beginning (B) and the inside (I) of entities.
O is used for non-entity tokens.

Example:

| Mark | Watney | visited | Mars |
| --- | ---| --- | --- |
| B-PER | I-PER | O | B-LOC |"
"BC5CDR","Named Entity Recognition (NER)","1","Natural Language Processing","paperswithcode","Named entity recognition (NER) is the task of tagging entities in text with their corresponding type.
Approaches typically use BIO notation, which differentiates the beginning (B) and the inside (I) of entities.
O is used for non-entity tokens.

Example:

| Mark | Watney | visited | Mars |
| --- | ---| --- | --- |
| B-PER | I-PER | O | B-LOC |"
"JNLPBA","Named Entity Recognition (NER)","1","Natural Language Processing","paperswithcode","Named entity recognition (NER) is the task of tagging entities in text with their corresponding type.
Approaches typically use BIO notation, which differentiates the beginning (B) and the inside (I) of entities.
O is used for non-entity tokens.

Example:

| Mark | Watney | visited | Mars |
| --- | ---| --- | --- |
| B-PER | I-PER | O | B-LOC |"
"NCBI-disease","Named Entity Recognition (NER)","1","Natural Language Processing","paperswithcode","Named entity recognition (NER) is the task of tagging entities in text with their corresponding type.
Approaches typically use BIO notation, which differentiates the beginning (B) and the inside (I) of entities.
O is used for non-entity tokens.

Example:

| Mark | Watney | visited | Mars |
| --- | ---| --- | --- |
| B-PER | I-PER | O | B-LOC |"
"MOSI","Multimodal Sentiment Analysis","1","Audio","paperswithcode","Multimodal sentiment analysis is the task of performing sentiment analysis with multiple data sources - e.g. a camera feed of someones face and their recorded speech."
"Sentihood","Aspect-Based Sentiment Analysis","1","Audio","paperswithcode","Aspect-based sentiment analysis is the task of identifying fine-grained opinion polarity towards a specific aspect associated with a given target."
"SemEval 2014 Task 4 Sub Task 2","Aspect-Based Sentiment Analysis","1","Audio","paperswithcode","Aspect-based sentiment analysis is the task of identifying fine-grained opinion polarity towards a specific aspect associated with a given target."
"SST-5 Fine-grained classification","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"Yelp Fine-grained classification","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"SST-2 Binary classification","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"SemEval","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"IMDb","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"MR","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"MPQA","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"Amazon Review Polarity","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"Amazon Review Full","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"Yelp Binary classification","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"Multi-Domain Sentiment Dataset","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"Sogou News","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"CR","Sentiment Analysis","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"Penn Treebank","Dependency Parsing","1","Natural Language Processing","paperswithcode","Dependency parsing is the task of extracting a dependency parse of a sentence that represents its grammatical
structure and defines the relationships between head words and words, which modify those heads.

Example:

```
     root
      |
      | +-------dobj---------+
      | |                    |
nsubj | |   +------det-----+ | +-----nmod------+
+--+  | |   |              | | |               |
|  |  | |   |      +-nmod-+| | |      +-case-+ |
+  |  + |   +      +      || + |      +      | |
I  prefer  the "
"GENIA - LAS","Dependency Parsing","1","Natural Language Processing","paperswithcode","Dependency parsing is the task of extracting a dependency parse of a sentence that represents its grammatical
structure and defines the relationships between head words and words, which modify those heads.

Example:

```
     root
      |
      | +-------dobj---------+
      | |                    |
nsubj | |   +------det-----+ | +-----nmod------+
+--+  | |   |              | | |               |
|  |  | |   |      +-nmod-+| | |      +-case-+ |
+  |  + |   +      +      || + |      +      | |
I  prefer  the "
"GENIA - UAS","Dependency Parsing","1","Natural Language Processing","paperswithcode","Dependency parsing is the task of extracting a dependency parse of a sentence that represents its grammatical
structure and defines the relationships between head words and words, which modify those heads.

Example:

```
     root
      |
      | +-------dobj---------+
      | |                    |
nsubj | |   +------det-----+ | +-----nmod------+
+--+  | |   |              | | |               |
|  |  | |   |      +-nmod-+| | |      +-case-+ |
+  |  + |   +      +      || + |      +      | |
I  prefer  the "
"FCE","Grammatical Error Detection","1","Natural Language Processing","paperswithcode",""
"JFLEG","Grammatical Error Detection","1","Natural Language Processing","paperswithcode",""
"CoNLL-2014 A2","Grammatical Error Detection","1","Natural Language Processing","paperswithcode",""
"CoNLL-2014 A1","Grammatical Error Detection","1","Natural Language Processing","paperswithcode",""
"Restricted","Grammatical Error Correction","1","Natural Language Processing","paperswithcode","Grammatical Error Correction (GEC) is the task of correcting different kinds of errors in text such as spelling, punctuation, grammatical, and word choice errors. 

GEC is typically formulated as a sentence correction task. A GEC system takes a potentially erroneous sentence as input and is expected to transform it to its corrected version. See the example given below: 

| Input (Erroneous)          | Output (Corrected)     |
| -------------------------  | ---------------------- |
|She see Tom is catched by"
"Unrestricted","Grammatical Error Correction","1","Natural Language Processing","paperswithcode","Grammatical Error Correction (GEC) is the task of correcting different kinds of errors in text such as spelling, punctuation, grammatical, and word choice errors. 

GEC is typically formulated as a sentence correction task. A GEC system takes a potentially erroneous sentence as input and is expected to transform it to its corrected version. See the example given below: 

| Input (Erroneous)          | Output (Corrected)     |
| -------------------------  | ---------------------- |
|She see Tom is catched by"
"_Restricted_","Grammatical Error Correction","1","Natural Language Processing","paperswithcode","Grammatical Error Correction (GEC) is the task of correcting different kinds of errors in text such as spelling, punctuation, grammatical, and word choice errors. 

GEC is typically formulated as a sentence correction task. A GEC system takes a potentially erroneous sentence as input and is expected to transform it to its corrected version. See the example given below: 

| Input (Erroneous)          | Output (Corrected)     |
| -------------------------  | ---------------------- |
|She see Tom is catched by"
"spider","Semantic Parsing","1","Natural Language Processing","paperswithcode",""
"SentEval","Semantic Textual Similarity","1","Natural Language Processing","paperswithcode","Semantic textual similarity deals with determining how similar two pieces of texts are.
This can take the form of assigning a score from 1 to 5. Related tasks are paraphrase or duplicate identification."
"STS Benchmark","Semantic Textual Similarity","1","Natural Language Processing","paperswithcode","Semantic textual similarity deals with determining how similar two pieces of texts are.
This can take the form of assigning a score from 1 to 5. Related tasks are paraphrase or duplicate identification."
"CoNLL 2005","Semantic Role Labeling (predicted predicates)","1","Natural Language Processing","paperswithcode","PropBank semantic role labeling with predicted predicates."
"CoNLL 2012","Semantic Role Labeling (predicted predicates)","1","Natural Language Processing","paperswithcode","PropBank semantic role labeling with predicted predicates."
"CoNLL 2012","Predicate Detection","1","Natural Language Processing","paperswithcode","Detecting predicates in sentences. Semantic frames are defined with respect to predicates. This task is a prerequisite to semantic role labeling."
"CoNLL 2005","Predicate Detection","1","Natural Language Processing","paperswithcode","Detecting predicates in sentences. Semantic frames are defined with respect to predicates. This task is a prerequisite to semantic role labeling."
"OntoNotes","Semantic Role Labeling","1","Natural Language Processing","paperswithcode","Semantic role labeling aims to model the predicate-argument structure of a sentence
and is often described as answering Who did what to whom. BIO notation is typically
used for semantic role labeling.

Example:

| Housing | starts | are | expected | to | quicken | a | bit | from | August’s | pace | 
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | 
| B-ARG1 | I-ARG1 | O |  O  |  O  |   V  | B-ARG2 | I-ARG2 | B-ARG3 | I-ARG3 | I-ARG3 |"
"CoNLL 2005","Semantic Role Labeling","1","Natural Language Processing","paperswithcode","Semantic role labeling aims to model the predicate-argument structure of a sentence
and is often described as answering Who did what to whom. BIO notation is typically
used for semantic role labeling.

Example:

| Housing | starts | are | expected | to | quicken | a | bit | from | August’s | pace | 
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | 
| B-ARG1 | I-ARG1 | O |  O  |  O  |   V  | B-ARG2 | I-ARG2 | B-ARG3 | I-ARG3 | I-ARG3 |"
"LexNorm","Lexical Normalization","1","Natural Language Processing","paperswithcode","Lexical normalization is the task of translatingtransforming a non standard text to a standard register.

Example:

```
new pix comming tomoroe
new pictures coming tomorrow
```

Datasets usually consists of tweets, since these naturally contain a fair amount of 
these phenomena.

For lexical normalization, only replacements on the word-level are annotated.
Some corpora include annotation for 1-N and N-1 replacements. However, word
insertiondeletion and reordering is not part of the task."
"IEMOCAP","Emotion Recognition in Conversation","1","Computer Vision","paperswithcode",""
"IEMOCAP","Multimodal Emotion Recognition","1","Computer Vision","paperswithcode",""
"Monologue","Multimodal Emotion Recognition","1","Computer Vision","paperswithcode",""
" CUB-200-2011","Weakly-Supervised Object Localization","1","Computer Vision","paperswithcode",""
"ILSVRC 2015","Weakly-Supervised Object Localization","1","Computer Vision","paperswithcode",""
"ILSVRC 2016","Weakly-Supervised Object Localization","1","Computer Vision","paperswithcode",""
"KITTI Cars Easy","Object Localization","1","Computer Vision","paperswithcode",""
"KITTI Pedestrians Easy","Object Localization","1","Computer Vision","paperswithcode",""
"KITTI Pedestrians Hard","Object Localization","1","Computer Vision","paperswithcode",""
"KITTI Cyclists Hard","Object Localization","1","Computer Vision","paperswithcode",""
"KITTI Cars Hard","Object Localization","1","Computer Vision","paperswithcode",""
"KITTI Cyclists Moderate","Object Localization","1","Computer Vision","paperswithcode",""
"KITTI Pedestrians Moderate","Object Localization","1","Computer Vision","paperswithcode",""
"KITTI Cyclists Easy","Object Localization","1","Computer Vision","paperswithcode",""
"KITTI Cars Moderate","Object Localization","1","Computer Vision","paperswithcode",""
"COCO-Stuff-15","Unsupervised semantic segmentation","1","Computer Vision","paperswithcode","Models that learn to segment each image (i.e. cluster the pixels into their ground truth classes) without seeing the ground truth labels."
"COCO-Stuff-3","Unsupervised semantic segmentation","1","Computer Vision","paperswithcode","Models that learn to segment each image (i.e. cluster the pixels into their ground truth classes) without seeing the ground truth labels."
"Potsdam","Unsupervised semantic segmentation","1","Computer Vision","paperswithcode","Models that learn to segment each image (i.e. cluster the pixels into their ground truth classes) without seeing the ground truth labels."
"Potsdam-3","Unsupervised semantic segmentation","1","Computer Vision","paperswithcode","Models that learn to segment each image (i.e. cluster the pixels into their ground truth classes) without seeing the ground truth labels."
"ScanNet","Scene Segmentation","1","Computer Vision","paperswithcode","Scene segmentation is the task of splitting a scene into its various object components.

Image adapted from [Temporally coherent 4D reconstruction of complex dynamic scenes](https:paperswithcode.compapertemporally-coherent-4d-reconstruction-of2)."
"SUN-RGBD","Scene Segmentation","1","Computer Vision","paperswithcode","Scene segmentation is the task of splitting a scene into its various object components.

Image adapted from [Temporally coherent 4D reconstruction of complex dynamic scenes](https:paperswithcode.compapertemporally-coherent-4d-reconstruction-of2)."
"CamVid","Real-Time Semantic Segmentation","1","Computer Vision","paperswithcode","Real-time semantic segmentation is the task of achieving computationally efficient semantic segmentation (while maintaining a base level of accuracy)."
"Cityscapes","Real-Time Semantic Segmentation","1","Computer Vision","paperswithcode","Real-time semantic segmentation is the task of achieving computationally efficient semantic segmentation (while maintaining a base level of accuracy)."
"NYU Depth v2","Semantic Segmentation","1","Computer Vision","paperswithcode","The idea of semantic segmentation is to recognize and understand what is in an image at the pixel-level."
"PASCAL VOC 2012","Semantic Segmentation","1","Computer Vision","paperswithcode","The idea of semantic segmentation is to recognize and understand what is in an image at the pixel-level."
"ADE20K","Semantic Segmentation","1","Computer Vision","paperswithcode","The idea of semantic segmentation is to recognize and understand what is in an image at the pixel-level."
"CamVid","Semantic Segmentation","1","Computer Vision","paperswithcode","The idea of semantic segmentation is to recognize and understand what is in an image at the pixel-level."
"ShapeNet","Semantic Segmentation","1","Computer Vision","paperswithcode","The idea of semantic segmentation is to recognize and understand what is in an image at the pixel-level."
"PASCAL Context","Semantic Segmentation","1","Computer Vision","paperswithcode","The idea of semantic segmentation is to recognize and understand what is in an image at the pixel-level."
"Cityscapes","Semantic Segmentation","1","Computer Vision","paperswithcode","The idea of semantic segmentation is to recognize and understand what is in an image at the pixel-level."
"TACRED","Relation Extraction","1","Natural Language Processing","paperswithcode",""
"SciERC","Relation Extraction","1","Natural Language Processing","paperswithcode",""
"ChemProt","Relation Extraction","1","Natural Language Processing","paperswithcode",""
"TimeBank","Temporal Information Extraction","1","Natural Language Processing","paperswithcode","Temporal information extraction is the identification of chunkstokens corresponding to temporal intervals, and the extraction and determination of the temporal relations between those. The entities extracted may be temporal expressions (timexes), eventualities (events), or auxiliary signals that support the interpretation of an entity or relation. Relations may be temporal links (tlinks), describing the order of events and times, or subordinate links (slinks) describing modality and other subordinative acti"
"TempEval-3","Temporal Information Extraction","1","Natural Language Processing","paperswithcode","Temporal information extraction is the identification of chunkstokens corresponding to temporal intervals, and the extraction and determination of the temporal relations between those. The entities extracted may be temporal expressions (timexes), eventualities (events), or auxiliary signals that support the interpretation of an entity or relation. Relations may be temporal links (tlinks), describing the order of events and times, or subordinate links (slinks) describing modality and other subordinative acti"
"SBD","Edge Detection","1","Computer Vision","paperswithcode",""
"Cityscapes","Edge Detection","1","Computer Vision","paperswithcode",""
"RumourEval","Stance Detection","1","Natural Language Processing","paperswithcode","Stance detection is the extraction of a subjects reaction to a claim made by a primary actor. It is a core part of a set of approaches to fake news assessment.

Example:

* Source: Apples are the most delicious fruit in existence
* Reply: Obviously not, because that is a reuben from Katzs
* Stance: deny"
"Mandarin Chinese","Speech Synthesis","1","Speech","paperswithcode","Speech synthesis is the task of generating speech from text. 

Please note that the state-of-the-art tables here are not really comparable between studies - as they use mean opinion score as a metric and collect different samples from Amazon Mechnical Turk."
"North American English","Speech Synthesis","1","Speech","paperswithcode","Speech synthesis is the task of generating speech from text. 

Please note that the state-of-the-art tables here are not really comparable between studies - as they use mean opinion score as a metric and collect different samples from Amazon Mechnical Turk."
"PROMISE 2012","Volumetric Medical Image Segmentation","1","Medical","paperswithcode",""
"PhC-U373","Cell Segmentation","1","Medical","paperswithcode",""
"DIC-HeLa","Cell Segmentation","1","Medical","paperswithcode",""
"iSEG 2017 Challenge","Infant Brain Mri Segmentation","1","Medical","paperswithcode",""
"Kaggle Skin Lesion Segmentation","Skin Cancer Segmentation","1","Medical","paperswithcode",""
"LUNA","Lung Nodule Segmentation","1","Medical","paperswithcode",""
"CT-150","Pancreas Segmentation","1","Medical","paperswithcode","Pancreas segmentation is the task of segmenting out the pancreas from medical imaging."
"TCIA Pancreas-CT","3D Medical Imaging Segmentation","1","Medical","paperswithcode","3D medical imaging segmentation is the task of segmenting medical objects of interest from 3D medical imaging."
"CHASE_DB1","Retinal Vessel Segmentation","1","Medical","paperswithcode","Retinal vessel segmentation is the task of segmenting vessels in retina imagery."
"DRIVE","Retinal Vessel Segmentation","1","Medical","paperswithcode","Retinal vessel segmentation is the task of segmenting vessels in retina imagery."
"STARE","Retinal Vessel Segmentation","1","Medical","paperswithcode","Retinal vessel segmentation is the task of segmenting vessels in retina imagery."
"BRATS-2013","Brain Tumor Segmentation","1","Medical","paperswithcode","Brain tumor segmentation is the task of segmenting tumors from other brain artefacts in MRI image of the brain."
"BRATS-2015","Brain Tumor Segmentation","1","Medical","paperswithcode","Brain tumor segmentation is the task of segmenting tumors from other brain artefacts in MRI image of the brain."
"ISIC 2017","Lesion Segmentation","1","Medical","paperswithcode","Lesion segmentation is the task of segmenting out lesions from other objects in medical based images."
"ISIC 2018","Lesion Segmentation","1","Medical","paperswithcode","Lesion segmentation is the task of segmenting out lesions from other objects in medical based images."
"BUS 2017 Dataset B","Lesion Segmentation","1","Medical","paperswithcode","Lesion segmentation is the task of segmenting out lesions from other objects in medical based images."
"ISBI 2012 EM Segmentation","Medical Image Segmentation","1","Medical","paperswithcode","Medical image segmentation is the task of segmenting objects of interest in a medical image - for example organs or lesions."
"iSEG 2017 Challenge","Medical Image Segmentation","1","Medical","paperswithcode","Medical image segmentation is the task of segmenting objects of interest in a medical image - for example organs or lesions."
"PCBA","Drug Discovery","1","Medical","paperswithcode","Drug discovery is the task of applying machine learning to discover new candidate drugs."
"ToxCast","Drug Discovery","1","Medical","paperswithcode","Drug discovery is the task of applying machine learning to discover new candidate drugs."
"QM9","Drug Discovery","1","Medical","paperswithcode","Drug discovery is the task of applying machine learning to discover new candidate drugs."
"Tox21","Drug Discovery","1","Medical","paperswithcode","Drug discovery is the task of applying machine learning to discover new candidate drugs."
"MUV","Drug Discovery","1","Medical","paperswithcode","Drug discovery is the task of applying machine learning to discover new candidate drugs."
"HIV dataset","Drug Discovery","1","Medical","paperswithcode","Drug discovery is the task of applying machine learning to discover new candidate drugs."
"Penn Treebank (Word Level)","Language Modelling","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"enwiki8","Language Modelling","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"Sequential MNIST","Language Modelling","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"WikiText-103","Language Modelling","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"One Billion Word","Language Modelling","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"Penn Treebank (Character Level)","Language Modelling","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"Text8","Language Modelling","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"Hutter Prize","Language Modelling","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"WikiText-2","Language Modelling","1","Natural Language Processing","paperswithcode","Language modeling is the task of predicting the next word or character in a document.

\* indicates models using dynamic evaluation; where, at test time, models may adapt to seen tokens in order to improve performance on following tokens. ([Mikolov et al., (2010)](https:www.fit.vutbr.czresearchgroupsspeechpubli2010mikolov_interspeech2010_IS100722.pdf), [Kraus et al., (2017)](https:arxiv.orgpdf1709.07432))"
"Supervised:","Word Sense Disambiguation","1","Natural Language Processing","paperswithcode","The task of Word Sense Disambiguation (WSD) consists of associating words in context with their most suitable entry in a pre-defined sense inventory. The de-facto sense inventory for English in WSD is [WordNet](https:wordnet.princeton.edu).
For example, given the word “mouse” and the following sentence:

“A mouse consists of an object held in ones hand, with one or more buttons.” 

we would assign “mouse”  with its electronic device sense ([the 4th sense in the WordNet sense inventory](http:wordnetweb.princ"
"SemEval 2007 Task 17","Word Sense Disambiguation","1","Natural Language Processing","paperswithcode","The task of Word Sense Disambiguation (WSD) consists of associating words in context with their most suitable entry in a pre-defined sense inventory. The de-facto sense inventory for English in WSD is [WordNet](https:wordnet.princeton.edu).
For example, given the word “mouse” and the following sentence:

“A mouse consists of an object held in ones hand, with one or more buttons.” 

we would assign “mouse”  with its electronic device sense ([the 4th sense in the WordNet sense inventory](http:wordnetweb.princ"
"SensEval 2","Word Sense Disambiguation","1","Natural Language Processing","paperswithcode","The task of Word Sense Disambiguation (WSD) consists of associating words in context with their most suitable entry in a pre-defined sense inventory. The de-facto sense inventory for English in WSD is [WordNet](https:wordnet.princeton.edu).
For example, given the word “mouse” and the following sentence:

“A mouse consists of an object held in ones hand, with one or more buttons.” 

we would assign “mouse”  with its electronic device sense ([the 4th sense in the WordNet sense inventory](http:wordnetweb.princ"
"Knowledge-based:","Word Sense Disambiguation","1","Natural Language Processing","paperswithcode","The task of Word Sense Disambiguation (WSD) consists of associating words in context with their most suitable entry in a pre-defined sense inventory. The de-facto sense inventory for English in WSD is [WordNet](https:wordnet.princeton.edu).
For example, given the word “mouse” and the following sentence:

“A mouse consists of an object held in ones hand, with one or more buttons.” 

we would assign “mouse”  with its electronic device sense ([the 4th sense in the WordNet sense inventory](http:wordnetweb.princ"
"SemEval 2013 Task 12","Word Sense Disambiguation","1","Natural Language Processing","paperswithcode","The task of Word Sense Disambiguation (WSD) consists of associating words in context with their most suitable entry in a pre-defined sense inventory. The de-facto sense inventory for English in WSD is [WordNet](https:wordnet.princeton.edu).
For example, given the word “mouse” and the following sentence:

“A mouse consists of an object held in ones hand, with one or more buttons.” 

we would assign “mouse”  with its electronic device sense ([the 4th sense in the WordNet sense inventory](http:wordnetweb.princ"
"SensEval 3 Task 1","Word Sense Disambiguation","1","Natural Language Processing","paperswithcode","The task of Word Sense Disambiguation (WSD) consists of associating words in context with their most suitable entry in a pre-defined sense inventory. The de-facto sense inventory for English in WSD is [WordNet](https:wordnet.princeton.edu).
For example, given the word “mouse” and the following sentence:

“A mouse consists of an object held in ones hand, with one or more buttons.” 

we would assign “mouse”  with its electronic device sense ([the 4th sense in the WordNet sense inventory](http:wordnetweb.princ"
