"agent","task","method","result","metric"
"1200D REGMAPR (Base+Reg)","SNLI","1200D REGMAPR (Base+Reg)","85.9","% Test Accuracy"
"300D Residual stacked encoders","SNLI","300D Residual stacked encoders","85.7","% Test Accuracy"
"300D Residual stacked encoders","SNLI","300D Residual stacked encoders","89.8","% Train Accuracy"
"300D Residual stacked encoders","SNLI","300D Residual stacked encoders","9.7m","Parameters"
"300D LSTMN with deep attention fusion","SNLI","300D LSTMN with deep attention fusion","85.7","% Test Accuracy"
"300D LSTMN with deep attention fusion","SNLI","300D LSTMN with deep attention fusion","87.3","% Train Accuracy"
"300D LSTMN with deep attention fusion","SNLI","300D LSTMN with deep attention fusion","1.7m","Parameters"
"300D Gumbel TreeLSTM encoders","SNLI","300D Gumbel TreeLSTM encoders","85.6","% Test Accuracy"
"300D Gumbel TreeLSTM encoders","SNLI","300D Gumbel TreeLSTM encoders","91.2","% Train Accuracy"
"300D Gumbel TreeLSTM encoders","SNLI","300D Gumbel TreeLSTM encoders","2.9m","Parameters"
"300D Directional self-attention network encoders","SNLI","300D Directional self-attention network encoders","85.6","% Test Accuracy"
"300D Directional self-attention network encoders","SNLI","300D Directional self-attention network encoders","91.1","% Train Accuracy"
"300D Directional self-attention network encoders","SNLI","300D Directional self-attention network encoders","2.4m","Parameters"
"600D (300+300) Deep Gated Attn. BiLSTM encoders","SNLI","600D (300+300) Deep Gated Attn. BiLSTM encoders","85.5","% Test Accuracy"
"600D (300+300) Deep Gated Attn. BiLSTM encoders","SNLI","600D (300+300) Deep Gated Attn. BiLSTM encoders","90.5","% Train Accuracy"
"600D (300+300) Deep Gated Attn. BiLSTM encoders","SNLI","600D (300+300) Deep Gated Attn. BiLSTM encoders","12m","Parameters"
"300D MMA-NSE encoders with attention","SNLI","300D MMA-NSE encoders with attention","85.4","% Test Accuracy"
"300D MMA-NSE encoders with attention","SNLI","300D MMA-NSE encoders with attention","86.9","% Train Accuracy"
"300D MMA-NSE encoders with attention","SNLI","300D MMA-NSE encoders with attention","3.2m","Parameters"
"50D stacked TC-LSTMs","SNLI","50D stacked TC-LSTMs","85.1","% Test Accuracy"
"50D stacked TC-LSTMs","SNLI","50D stacked TC-LSTMs","86.7","% Train Accuracy"
"50D stacked TC-LSTMs","SNLI","50D stacked TC-LSTMs","190k","Parameters"
"600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc.","SNLI","600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc.","85.0","% Test Accuracy"
"600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc.","SNLI","600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc.","85.9","% Train Accuracy"
"600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc.","SNLI","600D (300+300) BiLSTM encoders with intra-attention and symbolic preproc.","2.8m","Parameters"
"300D NSE encoders","SNLI","300D NSE encoders","84.6","% Test Accuracy"
"300D NSE encoders","SNLI","300D NSE encoders","86.2","% Train Accuracy"
"300D NSE encoders","SNLI","300D NSE encoders","3.0m","Parameters"
"100D DF-LSTM","SNLI","100D DF-LSTM","84.6","% Test Accuracy"
"100D DF-LSTM","SNLI","100D DF-LSTM","85.2","% Train Accuracy"
"100D DF-LSTM","SNLI","100D DF-LSTM","320k","Parameters"
"4096D BiLSTM with max-pooling","SNLI","4096D BiLSTM with max-pooling","84.5","% Test Accuracy"
"4096D BiLSTM with max-pooling","SNLI","4096D BiLSTM with max-pooling","85.6","% Train Accuracy"
"4096D BiLSTM with max-pooling","SNLI","4096D BiLSTM with max-pooling","40m","Parameters"
"600D (300+300) BiLSTM encoders with intra-attention","SNLI","600D (300+300) BiLSTM encoders with intra-attention","84.2","% Test Accuracy"
"600D (300+300) BiLSTM encoders with intra-attention","SNLI","600D (300+300) BiLSTM encoders with intra-attention","84.5","% Train Accuracy"
"600D (300+300) BiLSTM encoders with intra-attention","SNLI","600D (300+300) BiLSTM encoders with intra-attention","2.8m","Parameters"
"100D LSTMs w word-by-word attention","SNLI","100D LSTMs w word-by-word attention","83.5","% Test Accuracy"
"100D LSTMs w word-by-word attention","SNLI","100D LSTMs w word-by-word attention","85.3","% Train Accuracy"
"100D LSTMs w word-by-word attention","SNLI","100D LSTMs w word-by-word attention","250k","Parameters"
"300D NTI-SLSTM-LSTM encoders","SNLI","300D NTI-SLSTM-LSTM encoders","83.4","% Test Accuracy"
"300D NTI-SLSTM-LSTM encoders","SNLI","300D NTI-SLSTM-LSTM encoders","82.5","% Train Accuracy"
"300D NTI-SLSTM-LSTM encoders","SNLI","300D NTI-SLSTM-LSTM encoders","4.0m","Parameters"
"600D (300+300) BiLSTM encoders","SNLI","600D (300+300) BiLSTM encoders","83.3","% Test Accuracy"
"600D (300+300) BiLSTM encoders","SNLI","600D (300+300) BiLSTM encoders","86.4","% Train Accuracy"
"600D (300+300) BiLSTM encoders","SNLI","600D (300+300) BiLSTM encoders","2.0m","Parameters"
"300D SPINN-PI encoders","SNLI","300D SPINN-PI encoders","83.2","% Test Accuracy"
"300D SPINN-PI encoders","SNLI","300D SPINN-PI encoders","89.2","% Train Accuracy"
"300D SPINN-PI encoders","SNLI","300D SPINN-PI encoders","3.7m","Parameters"
"300D Tree-based CNN encoders","SNLI","300D Tree-based CNN encoders","82.1","% Test Accuracy"
"300D Tree-based CNN encoders","SNLI","300D Tree-based CNN encoders","83.3","% Train Accuracy"
"300D Tree-based CNN encoders","SNLI","300D Tree-based CNN encoders","3.5m","Parameters"
"1024D GRU encoders w unsupervised skip-thoughts pre-training","SNLI","1024D GRU encoders w unsupervised skip-thoughts pre-training","81.4","% Test Accuracy"
"1024D GRU encoders w unsupervised skip-thoughts pre-training","SNLI","1024D GRU encoders w unsupervised skip-thoughts pre-training","98.8","% Train Accuracy"
"1024D GRU encoders w unsupervised skip-thoughts pre-training","SNLI","1024D GRU encoders w unsupervised skip-thoughts pre-training","15m","Parameters"
"300D LSTM encoders","SNLI","300D LSTM encoders","80.6","% Test Accuracy"
"300D LSTM encoders","SNLI","300D LSTM encoders","83.9","% Train Accuracy"
"300D LSTM encoders","SNLI","300D LSTM encoders","3.0m","Parameters"
"+ Unigram and bigram features","SNLI","+ Unigram and bigram features","78.2","% Test Accuracy"
"+ Unigram and bigram features","SNLI","+ Unigram and bigram features","99.7","% Train Accuracy"
"100D LSTM encoders","SNLI","100D LSTM encoders","77.6","% Test Accuracy"
"100D LSTM encoders","SNLI","100D LSTM encoders","84.8","% Train Accuracy"
"100D LSTM encoders","SNLI","100D LSTM encoders","220k","Parameters"
"Unlexicalized features","SNLI","Unlexicalized features","50.4","% Test Accuracy"
"Unlexicalized features","SNLI","Unlexicalized features","49.4","% Train Accuracy"
"LSTM","BPI challenge 12","LSTM","0.7600","Accuracy"
"LSTM","Helpdesk","LSTM","0.7123","Accuracy"
"Up-Down","COCO Visual Question Answering (VQA) real images 2.0 open ended","Up-Down","70.34","Percentage correct"
"HDU-USYD-UNCC","COCO Visual Question Answering (VQA) real images 2.0 open ended","HDU-USYD-UNCC","68.16","Percentage correct"
"DLAIT","COCO Visual Question Answering (VQA) real images 2.0 open ended","DLAIT","68.07","Percentage correct"
"MCB","COCO Visual Question Answering (VQA) real images 2.0 open ended","MCB","62.27","Percentage correct"
"d-LSTM+nI","COCO Visual Question Answering (VQA) real images 2.0 open ended","d-LSTM+nI","54.22","Percentage correct"
"CMN","Visual7W","CMN","72.53","Percentage correct"
"MCB+Att.","Visual7W","MCB+Att.","62.2","Percentage correct"
"MCB 7 att.","COCO Visual Question Answering (VQA) real images 1.0 multiple choice","MCB 7 att.","70.1","Percentage correct"
"joint-loss","COCO Visual Question Answering (VQA) real images 1.0 multiple choice","joint-loss","67.3","Percentage correct"
"MRN","COCO Visual Question Answering (VQA) real images 1.0 multiple choice","MRN","66.33","Percentage correct"
"HQI+ResNet","COCO Visual Question Answering (VQA) real images 1.0 multiple choice","HQI+ResNet","66.1","Percentage correct"
"FDA","COCO Visual Question Answering (VQA) real images 1.0 multiple choice","FDA","64.2","Percentage correct"
"LSTM Q+I","COCO Visual Question Answering (VQA) real images 1.0 multiple choice","LSTM Q+I","63.1","Percentage correct"
"iBOWIMG baseline","COCO Visual Question Answering (VQA) real images 1.0 multiple choice","iBOWIMG baseline","61.97","Percentage correct"
"CMN","Visual Genome (subjects)","CMN","44.24","Percentage correct"
"CMN","Visual Genome (pairs)","CMN","28.52","Percentage correct"
"Graph VQA","COCO Visual Question Answering (VQA) abstract images 1.0 open ended","Graph VQA","70.42","Percentage correct"
"Dualnet ensemble","COCO Visual Question Answering (VQA) abstract images 1.0 open ended","Dualnet ensemble","69.73","Percentage correct"
"LSTM + global features","COCO Visual Question Answering (VQA) abstract images 1.0 open ended","LSTM + global features","65.02","Percentage correct"
"LSTM blind","COCO Visual Question Answering (VQA) abstract images 1.0 open ended","LSTM blind","57.19","Percentage correct"
"Graph VQA","COCO Visual Question Answering (VQA) abstract 1.0 multiple choice","Graph VQA","74.37","Percentage correct"
"Dualnet ensemble","COCO Visual Question Answering (VQA) abstract 1.0 multiple choice","Dualnet ensemble","71.18","Percentage correct"
"LSTM + global features","COCO Visual Question Answering (VQA) abstract 1.0 multiple choice","LSTM + global features","69.21","Percentage correct"
"LSTM blind","COCO Visual Question Answering (VQA) abstract 1.0 multiple choice","LSTM blind","61.41","Percentage correct"
"MCB 7 att.","COCO Visual Question Answering (VQA) real images 1.0 open ended","MCB 7 att.","66.5","Percentage correct"
"N2NMN","COCO Visual Question Answering (VQA) real images 1.0 open ended","N2NMN","64.2","Percentage correct"
"joint-loss","COCO Visual Question Answering (VQA) real images 1.0 open ended","joint-loss","63.2","Percentage correct"
"HQI+ResNet","COCO Visual Question Answering (VQA) real images 1.0 open ended","HQI+ResNet","62.1","Percentage correct"
"MRN + global features","COCO Visual Question Answering (VQA) real images 1.0 open ended","MRN + global features","61.84","Percentage correct"
"CNN-RNN","COCO Visual Question Answering (VQA) real images 1.0 open ended","CNN-RNN","59.5","Percentage correct"
"FDA","COCO Visual Question Answering (VQA) real images 1.0 open ended","FDA","59.5","Percentage correct"
"SAN","COCO Visual Question Answering (VQA) real images 1.0 open ended","SAN","58.9","Percentage correct"
"SMem-VQA","COCO Visual Question Answering (VQA) real images 1.0 open ended","SMem-VQA","58.24","Percentage correct"
"LSTM Q+I","COCO Visual Question Answering (VQA) real images 1.0 open ended","LSTM Q+I","58.2","Percentage correct"
"iBOWIMG baseline","COCO Visual Question Answering (VQA) real images 1.0 open ended","iBOWIMG baseline","55.89","Percentage correct"
"Denoising QA","Quasar","Denoising QA","42.2","EM (Quasar-T)"
"Denoising QA","Quasar","Denoising QA","49.3","F1 (Quasar-T)"
"DecaProp","Quasar","DecaProp","38.6","EM (Quasar-T)"
"DecaProp","Quasar","DecaProp","46.9","F1 (Quasar-T)"
"R^3","Quasar","R^3","35.3","EM (Quasar-T)"
"R^3","Quasar","R^3","41.7","F1 (Quasar-T)"
"GA","Quasar","GA","26.4","EM (Quasar-T)"
"GA","Quasar","GA","26.4","F1 (Quasar-T)"
"BiDAF","Quasar","BiDAF","25.9","EM (Quasar-T)"
"BiDAF","Quasar","BiDAF","28.5","F1 (Quasar-T)"
"DecaProp","SearchQA","DecaProp","62.2","Unigram Acc"
"DecaProp","SearchQA","DecaProp","70.8","N-gram F1"
"DecaProp","SearchQA","DecaProp","56.8","EM"
"DecaProp","SearchQA","DecaProp","63.6","F1"
"Bi-Attention + DCU-LSTM","SearchQA","Bi-Attention + DCU-LSTM","49.4","Unigram Acc"
"Bi-Attention + DCU-LSTM","SearchQA","Bi-Attention + DCU-LSTM","59.5","N-gram F1"
"AMANDA","SearchQA","AMANDA","46.8","Unigram Acc"
"AMANDA","SearchQA","AMANDA","56.6","N-gram F1"
"Focused Hierarchical RNN","SearchQA","Focused Hierarchical RNN","46.8","Unigram Acc"
"Focused Hierarchical RNN","SearchQA","Focused Hierarchical RNN","53.4","N-gram F1"
"ASR","SearchQA","ASR","41.3","Unigram Acc"
"ASR","SearchQA","ASR","22.8","N-gram F1"
"Denoising QA","SearchQA","Denoising QA","58.8","EM"
"Denoising QA","SearchQA","Denoising QA","64.5","F1"
"R^3","SearchQA","R^3","49.0","EM"
"R^3","SearchQA","R^3","55.3","F1"
"HyperQA","TrecQA","HyperQA","0.770","MAP"
"HyperQA","TrecQA","HyperQA","0.825","MRR"
"PWIN","TrecQA","PWIN","0.7588","MAP"
"PWIN","TrecQA","PWIN","0.8219","MRR"
"aNMM","TrecQA","aNMM","0.750","MAP"
"aNMM","TrecQA","aNMM","0.811","MRR"
"CNN","TrecQA","CNN","0.711","MAP"
"CNN","TrecQA","CNN","0.785","MRR"
"Gated-Attention Reader","CliCR","Gated-Attention Reader","33.9","F1"
"Stanford Attentive Reader","CliCR","Stanford Attentive Reader","27.2","F1"
"Memory Networks (ensemble)","SimpleQuestions","Memory Networks (ensemble)","63.9","F1"
"BERT (ensemble)","SQuAD1.1","BERT (ensemble)","87.433","EM"
"BERT (ensemble)","SQuAD1.1","BERT (ensemble)","93.160","F1"
"nlnet (ensemble)","SQuAD1.1","nlnet (ensemble)","85.954","EM"
"nlnet (ensemble)","SQuAD1.1","nlnet (ensemble)","91.677","F1"
"nlnet (ensemble)","SQuAD1.1","nlnet (ensemble)","85.356","EM"
"nlnet (ensemble)","SQuAD1.1","nlnet (ensemble)","91.202","F1"
"BERT (single model)","SQuAD1.1","BERT (single model)","85.083","EM"
"BERT (single model)","SQuAD1.1","BERT (single model)","91.835","F1"
"QANet (ensemble)","SQuAD1.1","QANet (ensemble)","84.454","EM"
"QANet (ensemble)","SQuAD1.1","QANet (ensemble)","90.490","F1"
"r-net (ensemble)","SQuAD1.1","r-net (ensemble)","84.003","EM"
"r-net (ensemble)","SQuAD1.1","r-net (ensemble)","90.147","F1"
"MARS (ensemble)","SQuAD1.1","MARS (ensemble)","83.982","EM"
"MARS (ensemble)","SQuAD1.1","MARS (ensemble)","89.796","F1"
"QANet (ensemble)","SQuAD1.1","QANet (ensemble)","83.877","EM"
"QANet (ensemble)","SQuAD1.1","QANet (ensemble)","89.737","F1"
"nlnet (single model)","SQuAD1.1","nlnet (single model)","83.468","EM"
"nlnet (single model)","SQuAD1.1","nlnet (single model)","90.133","F1"
"MARS (single model)","SQuAD1.1","MARS (single model)","83.185","EM"
"MARS (single model)","SQuAD1.1","MARS (single model)","89.547","F1"
"MARS (single model)","SQuAD1.1","MARS (single model)","83.122","EM"
"MARS (single model)","SQuAD1.1","MARS (single model)","89.224","F1"
"Reinforced Mnemonic Reader + A2D (ensemble model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D (ensemble model)","82.849","EM"
"Reinforced Mnemonic Reader + A2D (ensemble model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D (ensemble model)","88.764","F1"
"QANet (ensemble)","SQuAD1.1","QANet (ensemble)","82.744","EM"
"QANet (ensemble)","SQuAD1.1","QANet (ensemble)","89.045","F1"
"r-net+ (ensemble)","SQuAD1.1","r-net+ (ensemble)","82.650","EM"
"r-net+ (ensemble)","SQuAD1.1","r-net+ (ensemble)","88.493","F1"
"MARS (single model)","SQuAD1.1","MARS (single model)","82.587","EM"
"MARS (single model)","SQuAD1.1","MARS (single model)","88.880","F1"
"Hybrid AoA Reader (ensemble)","SQuAD1.1","Hybrid AoA Reader (ensemble)","82.482","EM"
"Hybrid AoA Reader (ensemble)","SQuAD1.1","Hybrid AoA Reader (ensemble)","89.281","F1"
"QANet (single)","SQuAD1.1","QANet (single)","82.471","EM"
"QANet (single)","SQuAD1.1","QANet (single)","89.306","F1"
"SLQA+ (ensemble)","SQuAD1.1","SLQA+ (ensemble)","82.440","EM"
"SLQA+ (ensemble)","SQuAD1.1","SLQA+ (ensemble)","88.607","F1"
"Reinforced Mnemonic Reader (ensemble model)","SQuAD1.1","Reinforced Mnemonic Reader (ensemble model)","82.283","EM"
"Reinforced Mnemonic Reader (ensemble model)","SQuAD1.1","Reinforced Mnemonic Reader (ensemble model)","88.533","F1"
"QANet (single model)","SQuAD1.1","QANet (single model)","82.209","EM"
"QANet (single model)","SQuAD1.1","QANet (single model)","88.608","F1"
"r-net (ensemble)","SQuAD1.1","r-net (ensemble)","82.136","EM"
"r-net (ensemble)","SQuAD1.1","r-net (ensemble)","88.126","F1"
"AttentionReader+ (ensemble)","SQuAD1.1","AttentionReader+ (ensemble)","81.790","EM"
"AttentionReader+ (ensemble)","SQuAD1.1","AttentionReader+ (ensemble)","88.163","F1"
"MMIPN","SQuAD1.1","MMIPN","81.580","EM"
"MMIPN","SQuAD1.1","MMIPN","88.948","F1"
"Reinforced Mnemonic Reader + A2D (single model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D (single model)","81.538","EM"
"Reinforced Mnemonic Reader + A2D (single model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D (single model)","88.130","F1"
"KACTEIL-MRC(GF-Net+) (ensemble)","SQuAD1.1","KACTEIL-MRC(GF-Net+) (ensemble)","81.496","EM"
"KACTEIL-MRC(GF-Net+) (ensemble)","SQuAD1.1","KACTEIL-MRC(GF-Net+) (ensemble)","87.557","F1"
"Reinforced Mnemonic Reader + A2D + DA (single model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D + DA (single model)","81.401","EM"
"Reinforced Mnemonic Reader + A2D + DA (single model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D + DA (single model)","88.122","F1"
"r-net (single model)","SQuAD1.1","r-net (single model)","81.391","EM"
"r-net (single model)","SQuAD1.1","r-net (single model)","88.170","F1"
"BiDAF + Self Attention + ELMo (ensemble)","SQuAD1.1","BiDAF + Self Attention + ELMo (ensemble)","81.003","EM"
"BiDAF + Self Attention + ELMo (ensemble)","SQuAD1.1","BiDAF + Self Attention + ELMo (ensemble)","87.432","F1"
"QANet (single model)","SQuAD1.1","QANet (single model)","80.929","EM"
"QANet (single model)","SQuAD1.1","QANet (single model)","87.773","F1"
"Reinforced Mnemonic Reader + A2D (single model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D (single model)","80.919","EM"
"Reinforced Mnemonic Reader + A2D (single model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D (single model)","87.492","F1"
"AVIQA+ (ensemble)","SQuAD1.1","AVIQA+ (ensemble)","80.615","EM"
"AVIQA+ (ensemble)","SQuAD1.1","AVIQA+ (ensemble)","87.311","F1"
"Reinforced Mnemonic Reader + A2D (single model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D (single model)","80.489","EM"
"Reinforced Mnemonic Reader + A2D (single model)","SQuAD1.1","Reinforced Mnemonic Reader + A2D (single model)","87.454","F1"
"SLQA+","SQuAD1.1","SLQA+","80.436","EM"
"SLQA+","SQuAD1.1","SLQA+","87.021","F1"
"{EAZI} (ensemble)","SQuAD1.1","{EAZI} (ensemble)","80.436","EM"
"{EAZI} (ensemble)","SQuAD1.1","{EAZI} (ensemble)","86.912","F1"
"EAZI+ (ensemble)","SQuAD1.1","EAZI+ (ensemble)","80.426","EM"
"EAZI+ (ensemble)","SQuAD1.1","EAZI+ (ensemble)","86.912","F1"
"DNET (ensemble)","SQuAD1.1","DNET (ensemble)","80.164","EM"
"DNET (ensemble)","SQuAD1.1","DNET (ensemble)","86.721","F1"
"Hybrid AoA Reader (single model)","SQuAD1.1","Hybrid AoA Reader (single model)","80.027","EM"
"Hybrid AoA Reader (single model)","SQuAD1.1","Hybrid AoA Reader (single model)","87.288","F1"
"BiDAF + Self Attention + ELMo + A2D (single model)","SQuAD1.1","BiDAF + Self Attention + ELMo + A2D (single model)","79.996","EM"
"BiDAF + Self Attention + ELMo + A2D (single model)","SQuAD1.1","BiDAF + Self Attention + ELMo + A2D (single model)","86.711","F1"
"r-net+ (single model)","SQuAD1.1","r-net+ (single model)","79.901","EM"
"r-net+ (single model)","SQuAD1.1","r-net+ (single model)","86.536","F1"
"MAMCN+ (single model)","SQuAD1.1","MAMCN+ (single model)","79.692","EM"
"MAMCN+ (single model)","SQuAD1.1","MAMCN+ (single model)","86.727","F1"
"SAN (ensemble model)","SQuAD1.1","SAN (ensemble model)","79.608","EM"
"SAN (ensemble model)","SQuAD1.1","SAN (ensemble model)","86.496","F1"
"Reinforced Mnemonic Reader (single model)","SQuAD1.1","Reinforced Mnemonic Reader (single model)","79.545","EM"
"Reinforced Mnemonic Reader (single model)","SQuAD1.1","Reinforced Mnemonic Reader (single model)","86.654","F1"
"SLQA+ (single model)","SQuAD1.1","SLQA+ (single model)","79.199","EM"
"SLQA+ (single model)","SQuAD1.1","SLQA+ (single model)","86.590","F1"
"Interactive AoA Reader+ (ensemble)","SQuAD1.1","Interactive AoA Reader+ (ensemble)","79.083","EM"
"Interactive AoA Reader+ (ensemble)","SQuAD1.1","Interactive AoA Reader+ (ensemble)","86.450","F1"
"MIR-MRC(F-Net) (single model)","SQuAD1.1","MIR-MRC(F-Net) (single model)","79.083","EM"
"MIR-MRC(F-Net) (single model)","SQuAD1.1","MIR-MRC(F-Net) (single model)","86.288","F1"
"MDReader","SQuAD1.1","MDReader","79.031","EM"
"MDReader","SQuAD1.1","MDReader","86.006","F1"
"FusionNet (ensemble)","SQuAD1.1","FusionNet (ensemble)","78.978","EM"
"FusionNet (ensemble)","SQuAD1.1","FusionNet (ensemble)","86.016","F1"
"DCN+ (ensemble)","SQuAD1.1","DCN+ (ensemble)","78.852","EM"
"DCN+ (ensemble)","SQuAD1.1","DCN+ (ensemble)","85.996","F1"
"KACTEIL-MRC(GF-Net+) (single model)","SQuAD1.1","KACTEIL-MRC(GF-Net+) (single model)","78.664","EM"
"KACTEIL-MRC(GF-Net+) (single model)","SQuAD1.1","KACTEIL-MRC(GF-Net+) (single model)","85.780","F1"
"BiDAF + Self Attention + ELMo (single model)","SQuAD1.1","BiDAF + Self Attention + ELMo (single model)","78.580","EM"
"BiDAF + Self Attention + ELMo (single model)","SQuAD1.1","BiDAF + Self Attention + ELMo (single model)","85.833","F1"
"aviqa (ensemble)","SQuAD1.1","aviqa (ensemble)","78.496","EM"
"aviqa (ensemble)","SQuAD1.1","aviqa (ensemble)","85.469","F1"
"Conductor-net (ensemble)","SQuAD1.1","Conductor-net (ensemble)","78.433","EM"
"Conductor-net (ensemble)","SQuAD1.1","Conductor-net (ensemble)","85.517","F1"
"KakaoNet (single model)","SQuAD1.1","KakaoNet (single model)","78.401","EM"
"KakaoNet (single model)","SQuAD1.1","KakaoNet (single model)","85.724","F1"
"SLQA(ensemble)","SQuAD1.1","SLQA(ensemble)","78.328","EM"
"SLQA(ensemble)","SQuAD1.1","SLQA(ensemble)","85.682","F1"
"MEMEN  (single model)","SQuAD1.1","MEMEN  (single model)","78.234","EM"
"MEMEN  (single model)","SQuAD1.1","MEMEN  (single model)","85.344","F1"
"BiDAF++ with pair2vec (single model)","SQuAD1.1","BiDAF++ with pair2vec (single model)","78.223","EM"
"BiDAF++ with pair2vec (single model)","SQuAD1.1","BiDAF++ with pair2vec (single model)","85.535","F1"
"MDReader0","SQuAD1.1","MDReader0","78.171","EM"
"MDReader0","SQuAD1.1","MDReader0","85.543","F1"
"test","SQuAD1.1","test","78.087","EM"
"test","SQuAD1.1","test","85.348","F1"
"Interactive AoA Reader (ensemble)","SQuAD1.1","Interactive AoA Reader (ensemble)","77.845","EM"
"Interactive AoA Reader (ensemble)","SQuAD1.1","Interactive AoA Reader (ensemble)","85.297","F1"
"DNET (single model)","SQuAD1.1","DNET (single model)","77.646","EM"
"DNET (single model)","SQuAD1.1","DNET (single model)","84.905","F1"
"RaSoR + TR + LM (single model)","SQuAD1.1","RaSoR + TR + LM (single model)","77.583","EM"
"RaSoR + TR + LM (single model)","SQuAD1.1","RaSoR + TR + LM (single model)","84.163","F1"
"BiDAF++ (single model)","SQuAD1.1","BiDAF++ (single model)","77.573","EM"
"BiDAF++ (single model)","SQuAD1.1","BiDAF++ (single model)","84.858","F1"
"AttentionReader+ (single)","SQuAD1.1","AttentionReader+ (single)","77.342","EM"
"AttentionReader+ (single)","SQuAD1.1","AttentionReader+ (single)","84.925","F1"
"Jenga (ensemble)","SQuAD1.1","Jenga (ensemble)","77.237","EM"
"Jenga (ensemble)","SQuAD1.1","Jenga (ensemble)","84.466","F1"
"{gqa} (single model)","SQuAD1.1","{gqa} (single model)","77.090","EM"
"{gqa} (single model)","SQuAD1.1","{gqa} (single model)","83.931","F1"
"Conductor-net (ensemble)","SQuAD1.1","Conductor-net (ensemble)","76.996","EM"
"Conductor-net (ensemble)","SQuAD1.1","Conductor-net (ensemble)","84.630","F1"
"MARS (single model)","SQuAD1.1","MARS (single model)","76.859","EM"
"MARS (single model)","SQuAD1.1","MARS (single model)","84.739","F1"
"SAN (single model)","SQuAD1.1","SAN (single model)","76.828","EM"
"SAN (single model)","SQuAD1.1","SAN (single model)","84.396","F1"
"VS^3-NET (single model)","SQuAD1.1","VS^3-NET (single model)","76.775","EM"
"VS^3-NET (single model)","SQuAD1.1","VS^3-NET (single model)","84.491","F1"
"r-net (single model)","SQuAD1.1","r-net (single model)","76.461","EM"
"r-net (single model)","SQuAD1.1","r-net (single model)","84.265","F1"
"FRC (single model)","SQuAD1.1","FRC (single model)","76.240","EM"
"FRC (single model)","SQuAD1.1","FRC (single model)","84.599","F1"
"QANet + data augmentation ×3","SQuAD1.1","QANet + data augmentation ×3","76.2","EM"
"QANet + data augmentation ×3","SQuAD1.1","QANet + data augmentation ×3","84.6","F1"
"Conductor-net (ensemble)","SQuAD1.1","Conductor-net (ensemble)","76.146","EM"
"Conductor-net (ensemble)","SQuAD1.1","Conductor-net (ensemble)","83.991","F1"
"KAR (single model)","SQuAD1.1","KAR (single model)","76.125","EM"
"KAR (single model)","SQuAD1.1","KAR (single model)","83.538","F1"
"smarnet (ensemble)","SQuAD1.1","smarnet (ensemble)","75.989","EM"
"smarnet (ensemble)","SQuAD1.1","smarnet (ensemble)","83.475","F1"
"FusionNet (single model)","SQuAD1.1","FusionNet (single model)","75.968","EM"
"FusionNet (single model)","SQuAD1.1","FusionNet (single model)","83.900","F1"
"AVIQA-v2 (single model)","SQuAD1.1","AVIQA-v2 (single model)","75.926","EM"
"AVIQA-v2 (single model)","SQuAD1.1","AVIQA-v2 (single model)","83.305","F1"
"Interactive AoA Reader+ (single model)","SQuAD1.1","Interactive AoA Reader+ (single model)","75.821","EM"
"Interactive AoA Reader+ (single model)","SQuAD1.1","Interactive AoA Reader+ (single model)","83.843","F1"
"RaSoR + TR (single model)","SQuAD1.1","RaSoR + TR (single model)","75.789","EM"
"RaSoR + TR (single model)","SQuAD1.1","RaSoR + TR (single model)","83.261","F1"
"MEMEN (ensemble)","SQuAD1.1","MEMEN (ensemble)","75.370","EM"
"MEMEN (ensemble)","SQuAD1.1","MEMEN (ensemble)","82.658","F1"
"Mixed model (ensemble)","SQuAD1.1","Mixed model (ensemble)","75.265","EM"
"Mixed model (ensemble)","SQuAD1.1","Mixed model (ensemble)","82.769","F1"
"two-attention-self-attention (ensemble)","SQuAD1.1","two-attention-self-attention (ensemble)","75.223","EM"
"two-attention-self-attention (ensemble)","SQuAD1.1","two-attention-self-attention (ensemble)","82.716","F1"
"DCN+ (single model)","SQuAD1.1","DCN+ (single model)","75.087","EM"
"DCN+ (single model)","SQuAD1.1","DCN+ (single model)","83.081","F1"
"ReasoNet (ensemble)","SQuAD1.1","ReasoNet (ensemble)","75.034","EM"
"ReasoNet (ensemble)","SQuAD1.1","ReasoNet (ensemble)","82.552","F1"
"DCN+ (single model)","SQuAD1.1","DCN+ (single model)","74.866","EM"
"DCN+ (single model)","SQuAD1.1","DCN+ (single model)","82.806","F1"
"eeAttNet (single model)","SQuAD1.1","eeAttNet (single model)","74.604","EM"
"eeAttNet (single model)","SQuAD1.1","eeAttNet (single model)","82.501","F1"
