"method","source","description"
"CRF + AutoEncoder","CRF + AutoEncoder","Evaluating the Utility of Hand-crafted Features in Sequence Labelling"
"S-LSTM","S-LSTM","Sentence-State LSTM for Text Representation"
"LSTM with dynamic skip","LSTM with dynamic skip","Long Short-Term Memory with Dynamic Skip Connections"
"HSCRF","HSCRF","Hybrid semi-Markov CRF for Neural Sequence Labeling"
"Yang et al.","Yang et al.","Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks"
"LM-LSTM-CRF","LM-LSTM-CRF","Empower Sequence Labeling with Task-Aware Neural Language Model"
"Ma and Hovy","Ma and Hovy","End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF"
"LSTM-CRF","LSTM-CRF","Neural Architectures for Named Entity Recognition"
"SWEM-CRF","SWEM-CRF","Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms"
"VSL-GG-Hier","VSL-GG-Hier","Variational Sequential Labelers for Semi-Supervised Learning"
"Bi-LSTM-CRF + Lexical Features","Bi-LSTM-CRF + Lexical Features","Robust Lexical Features for Improved Neural Network Named-Entity Recognition"
"BiLSTM-CRF","BiLSTM-CRF","Fast and Accurate Entity Recognition with Iterated Dilated Convolutions"
"Iterated Dilated CNN","Iterated Dilated CNN","Fast and Accurate Entity Recognition with Iterated Dilated Convolutions"
"Joint Model","Joint Model",""
"Averaged Perceptron","Averaged Perceptron",""
"SCIIE","SCIIE","Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction"
"CollaboNet","CollaboNet","CollaboNet: collaboration of deep neural networks for biomedical named entity recognition"
"MMMU-BA","MMMU-BA","Contextual Inter-modal Attention for Multi-modal Sentiment Analysis"
"bc-LSTM","bc-LSTM","Context-Dependent Sentiment Analysis in User-Generated Videos"
"MARN","MARN","Multi-attention Recurrent Network for Human Communication Comprehension"
"CHFusion","CHFusion","Multimodal Sentiment Analysis using Hierarchical Fusion with Context Modeling"
"Liu et al.","Liu et al.","Recurrent Entity Networks with Delayed Memory Update for Targeted Aspect-Based Sentiment Analysis"
"Sentic LSTM + TA + SA","Sentic LSTM + TA + SA","Targeted Aspect-Based Sentiment Analysis via Embedding Commonsense Knowledge into an Attentive LSTM"
"LSTM-LOC","LSTM-LOC","SentiHood: Targeted Aspect Based Sentiment Analysis Dataset for Urban Neighbourhoods"
"HAPN","HAPN","Hierarchical Attention Based Position-Aware Network for Aspect-Level Sentiment Analysis"
"SA-LSTM-P","SA-LSTM-P","Learning Latent Opinions for Aspect-Level Sentiment Classification"
"MGAN","MGAN","Exploiting Coarse-to-Fine Task Transfer for Aspect-level Sentiment Classification"
"LCR-Rot","LCR-Rot","Left-Center-Right Separated Neural Network for Aspect-based Sentiment Analysis with Rotatory Attention"
"BBLSTM-SL","BBLSTM-SL","Aspect-Based Sentiment Analysis Using Bitmask Bidirectional Long Short Term Memory Networks"
"MGAN","MGAN","Multi-grained Attention Network for Aspect-Level Sentiment Classification"
"AOA","AOA","Aspect Level Sentiment Classification with Attention-over-Attention Neural Networks"
"PBAN","PBAN","A Position-aware Bidirectional Attention Network for Aspect-level Sentiment Analysis"
"BILSTM-ATT-G (TSSVAE)","BILSTM-ATT-G (TSSVAE)","Variational Semi-supervised Aspect-term Sentiment Analysis via Transformer"
"AEN","AEN","Attentional Encoder Network for Targeted Sentiment Classification"
"MemNet","MemNet","Aspect Level Sentiment Classification with Deep Memory Network"
"TNet","TNet","Transformation Networks for Target-Oriented Sentiment Classification"
"LSTM+SynATT+TarRep","LSTM+SynATT+TarRep","Effective Attention Modeling for Aspect-Level Sentiment Classification"
"RAM","RAM","Recurrent Attention Network on Memory for Aspect Sentiment Analysis"
"IARM","IARM","IARM: Inter-Aspect Relation Modeling with Memory Networks in Aspect-Based Sentiment Analysis"
"PF-CNN","PF-CNN","Parameterized Convolutional Neural Networks for Aspect Level Sentiment Classification"
"PRET+MULT","PRET+MULT","Exploiting Document Knowledge for Aspect-level Sentiment Classification"
"JCI (hops)","JCI (hops)","Target-Sensitive Memory Networks for Aspect Sentiment Classification"
"IAN","IAN","Interactive Attention Networks for Aspect-Level Sentiment Classification"
"GCAE","GCAE","Aspect Based Sentiment Analysis with Gated Convolutional Networks"
"ATAE-LSTM ","ATAE-LSTM ","Attention-based LSTM for Aspect-level Sentiment Classification"
"NP (hops) ","NP (hops) ","Target-Sensitive Memory Networks for Aspect Sentiment Classification"
"TD-LSTM","TD-LSTM","Effective LSTMs for Target-Dependent Sentiment Classification"
"EDD-LG (shared)","EDD-LG (shared)","Learning Semantic Sentence Embeddings using Sequential Pair-wise Discriminator"
"Suffix BiLSTM","Suffix BiLSTM","Improved Sentence Modeling using Suffix Bidirectional LSTM"
"BCN+ELMo","BCN+ELMo","Deep contextualized word representations"
"BCN+Char+CoVe","BCN+Char+CoVe","Learned in Translation: Contextualized Word Vectors"
"CNN-RNF-LSTM","CNN-RNF-LSTM","Convolutional Neural Networks with Recurrent Neural Filters"
"MEAN","MEAN","A Multi-sentiment-resource Enhanced Attention Network for Sentiment Classification"
"Bi-LSTM+2+5","Bi-LSTM+2+5","Leveraging Multi-grained Sentiment Lexicon Information for Neural Sequence Models"
"Epic","Epic","Less Grammar, More Features"
"RNN-Capsule","RNN-Capsule","Sentiment Analysis by Capsules"
"RNTN","RNTN","Recursive Deep Models for Semantic Compositionality Over a Sentiment Treebank"
"GRU-RNN-WORD2VEC","GRU-RNN-WORD2VEC","All-but-the-Top: Simple and Effective Postprocessing for Word Representations"
"Joined Model Multi-tasking","Joined Model Multi-tasking","Exploring Joint Neural Model for Sentence Level Discourse Parsing and Sentiment Analysis"
"GloVe+Emo2Vec","GloVe+Emo2Vec","Emo2Vec: Learning Generalized Emotion Representation by Multi-task Training"
"Emo2Vec","Emo2Vec","Emo2Vec: Learning Generalized Emotion Representation by Multi-task Training"
"BiLSTM generalized pooling","BiLSTM generalized pooling","Enhancing Sentence Embedding with Generalized Pooling"
"SWEM-hier","SWEM-hier","Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms"
"CNN Large","CNN Large","Cloze-driven Pretraining of Self-attention Networks"
"Block-sparse LSTM","Block-sparse LSTM","GPU Kernels for Block-Sparse Weights"
"bmLSTM","bmLSTM","Learning to Generate Reviews and Discovering Sentiment"
"CNN","CNN","On the Role of Text Preprocessing in Neural Network Architectures: An Evaluation Study on Text Categorization and Sentiment Analysis"
"Neural Semantic Encoder","Neural Semantic Encoder","Neural Semantic Encoders"
"BLSTM-2DCNN","BLSTM-2DCNN","Text Classification Improved by Integrating Bidirectional LSTM with Two-dimensional Max Pooling"
"Standard DR-AGG","Standard DR-AGG","Information Aggregation via Dynamic Routing for Sequence Encoding"
"USE_T+CNN (lrn w.e.) ","USE_T+CNN (lrn w.e.) ","Universal Sentence Encoder"
"Reverse DR-AGG","Reverse DR-AGG","Information Aggregation via Dynamic Routing for Sequence Encoding"
"DC-MCNN","DC-MCNN","A Helping Hand: Transfer Learning for Deep Sentiment Analysis"
"ToWE-CBOW","ToWE-CBOW","Task-oriented Word Embedding for Text Classification"
"LSTMs+CNNs ensemble with multiple conv. ops ","LSTMs+CNNs ensemble with multiple conv. ops ","BB_twtr at SemEval-2017 Task 4: Twitter Sentiment Analysis with CNNs and LSTMs"
"Deep Bi-LSTM+attention","Deep Bi-LSTM+attention","DataStories at SemEval-2017 Task 4: Deep LSTM with Attention for Message-level and Topic-based Sentiment Analysis"
"oh-LSTM","oh-LSTM","Supervised and Semi-Supervised Text Categorization using LSTM for Region Embeddings"
"Virtual adversarial training","Virtual adversarial training","Adversarial Training Methods for Semi-Supervised Text Classification"
"seq2-bown-CNN","seq2-bown-CNN","Effective Use of Word Order for Text Categorization with Convolutional Neural Networks"
"CNN+LSTM","CNN+LSTM","On the Role of Text Preprocessing in Neural Network Architectures: An Evaluation Study on Text Categorization and Sentiment Analysis"
"USE_T+CNN ","USE_T+CNN ","Universal Sentence Encoder"
"USE_T+DAN (w2v w.e.) ","USE_T+DAN (w2v w.e.) ","Universal Sentence Encoder"
"SRNN","SRNN","Sliced Recurrent Neural Networks"
"Gumbel+bi-leaf-RNN","Gumbel+bi-leaf-RNN","On Tree-Based Neural Sentence Modeling"
"Distributional Correspondence Indexing","Distributional Correspondence Indexing","Revisiting Distributional Correspondence Indexing: A Python Reimplementation and New Experiments"
"Multi-task tri-training","Multi-task tri-training","Strong Baselines for Neural Semi-supervised Learning under Domain Shift"
"VFAE","VFAE","The Variational Fair Autoencoder"
"Asymmetric tri-training","Asymmetric tri-training","Asymmetric Tri-training for Unsupervised Domain Adaptation"
"DANN","DANN","Domain-Adversarial Training of Neural Networks"
"USE_T+CNN (w2v w.e.) ","USE_T+CNN (w2v w.e.) ","Universal Sentence Encoder"
"jPTDP","jPTDP","An improved neural network model for joint POS tagging and dependency parsing"
"Andor et al.","Andor et al.","Globally Normalized Transition-Based Neural Networks"
"Weiss et al.","Weiss et al.","Structured Training for Neural Network Transition-Based Parsing"
"Deep Biaffine","Deep Biaffine","Deep Biaffine Attention for Neural Dependency Parsing"
"Distilled neural FOG","Distilled neural FOG","Distilling an Ensemble of Greedy Dependency Parsers into One MST Parser"
"BIST transition-based parser","BIST transition-based parser","Simple and Accurate Dependency Parsing Using Bidirectional LSTM Feature Representations"
"Arc-hybrid","Arc-hybrid","Training with Exploration Improves a Greedy Stack-LSTM Parser"
"BIST graph-based parser","BIST graph-based parser","Simple and Accurate Dependency Parsing Using Bidirectional LSTM Feature Representations"
"BiLSTM-CRF","BiLSTM-CRF","From POS tagging to dependency parsing for biomedical event extraction"
"BiLSTM-JOINT","BiLSTM-JOINT","Jointly Learning to Label Sentences and Tokens"
"Ann+PAT+MT","Ann+PAT+MT","Artificial Error Generation with Machine Translation and Syntactic Patterns"
"Bi-LSTM + LMcost","Bi-LSTM + LMcost","Semi-supervised Multitask Learning for Sequence Labeling"
"Bi-LSTM + err POS GR ","Bi-LSTM + err POS GR ","Auxiliary Objectives for Neural Error Detection Models"
"Bi-LSTM + charattn","Bi-LSTM + charattn","Attending to Characters in Neural Sequence Labeling Models"
"Bi-LSTM","Bi-LSTM","Compositional Sequence Labeling Models for Error Detection in Learner Writing"
"BiLSTM-JOINT (trained on FCE)","BiLSTM-JOINT (trained on FCE)","Jointly Learning to Label Sentences and Tokens"
"Bi-LSTM + POS (unrestricted data)","Bi-LSTM + POS (unrestricted data)","Auxiliary Objectives for Neural Error Detection Models"
"Bi-LSTM (unrestricted data)","Bi-LSTM (unrestricted data)","Compositional Sequence Labeling Models for Error Detection in Learner Writing"
"Bi-LSTM + POS (trained on FCE)","Bi-LSTM + POS (trained on FCE)","Auxiliary Objectives for Neural Error Detection Models"
"Bi-LSTM + LMcost (trained on FCE)","Bi-LSTM + LMcost (trained on FCE)","Semi-supervised Multitask Learning for Sequence Labeling"
"Bi-LSTM (trained on FCE)","Bi-LSTM (trained on FCE)","Compositional Sequence Labeling Models for Error Detection in Learner Writing"
"SMT + BiGRU","SMT + BiGRU","Near Human-Level Performance in Grammatical Error Correction with Hybrid Machine Translation"
"CNN Seq2Seq + Quality Estimation","CNN Seq2Seq + Quality Estimation","Neural Quality Estimation of Grammatical Error Correction"
"Transformer","Transformer","Approaching Neural Grammatical Error Correction as a Low-Resource Machine Translation Task"
"CNN Seq2Seq","CNN Seq2Seq","A Multilayer Convolutional Encoder-Decoder Neural Network for Grammatical Error Correction"
"CNN Seq2Seq + Fluency Boost","CNN Seq2Seq + Fluency Boost","Reaching Human-level Performance in Automatic Grammatical Error Correction: An Empirical Study"
"CNN Seq2Seq + Fluency Boost and inference","CNN Seq2Seq + Fluency Boost and inference","Reaching Human-level Performance in Automatic Grammatical Error Correction: An Empirical Study"
"Exact Set Matching","Exact Set Matching","Spider: A Large-Scale Human-Labeled Dataset for Complex and Cross-Domain Semantic Parsing and Text-to-SQL Task"
"InferSent","InferSent","Supervised Learning of Universal Sentence Representations from Natural Language Inference Data"
"USE_T","USE_T","Universal Sentence Encoder"
"LISA + ELMo","LISA + ELMo","Linguistically-Informed Self-Attention for Semantic Role Labeling"
"He et al. 2018 + ELMo","He et al. 2018 + ELMo","Jointly Predicting Predicates and Arguments in Neural Semantic Role Labeling"
"LISA","LISA","Linguistically-Informed Self-Attention for Semantic Role Labeling"
"He et al. 2018","He et al. 2018","Jointly Predicting Predicates and Arguments in Neural Semantic Role Labeling"
"DeepSRL","DeepSRL","Deep Semantic Role Labeling: What Works and Whatâ<U+0080><U+0099>s Next"
"BiLSTM-Span (Ensemble)","BiLSTM-Span (Ensemble)","A Span Selection Model for Semantic Role Labeling"
"BiLSTM-Span","BiLSTM-Span","A Span Selection Model for Semantic Role Labeling"
"Li et al.","Li et al.","Dependency or Span, End-to-End Uniform Semantic Role Labeling"
"He et al.,","He et al.,","Jointly Predicting Predicates and Arguments in Neural Semantic Role Labeling"
"(He et al., 2017) + ELMo","(He et al., 2017) + ELMo","Deep contextualized word representations"
"Tan et al.","Tan et al.","Deep Semantic Role Labeling with Self-Attention"
"He et al.","He et al.","Jointly Predicting Predicates and Arguments in Neural Semantic Role Labeling"
"He et al.","He et al.","Deep Semantic Role Labeling: What Works and Whatâ<U+0080><U+0099>s Next"
"MoNoise","MoNoise","MoNoise: Modeling Noise Using a Modular Normalization System"
"Syllable based","Syllable based",""
"unLOL","unLOL",""
"Joint POS + Norm in a Viterbi decoding","Joint POS + Norm in a Viterbi decoding",""
"DialogueRNN","DialogueRNN","DialogueRNN: An Attentive RNN for Emotion Detection in Conversations"
"ICON","ICON","ICON: Interactive Conversational Memory Network for Multimodal Emotion Detection"
"CMN","CMN","Conversational Memory Network for Emotion Recognition in Dyadic Dialogue Videos"
"SPG","SPG","Self-produced Guidance for Weakly-supervised Object Localization"
"VoxelNe","VoxelNe","VoxelNet: End-to-End Learning for Point Cloud Based 3D Object Detection"
"3DMV","3DMV","3DMV: Joint 3D-Multi-View Prediction for 3D Semantic Scene Segmentation"
"PointNet++","PointNet++","PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation"
"DeepLab-LargeFOV","DeepLab-LargeFOV","Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs"
"SegNet","SegNet","SegNet: A Deep Convolutional Encoder-Decoder Architecture for Image Segmentation"
"FCN","FCN","Fully Convolutional Networks for Semantic Segmentation"
"PSPNet","PSPNet","Pyramid Scene Parsing Network"
"BiSeNet","BiSeNet","BiSeNet: Bilateral Segmentation Network for Real-time Semantic Segmentation"
"ICNet","ICNet","ICNet for Real-Time Semantic Segmentation on High-Resolution Images"
"Dilation10","Dilation10","Multi-Scale Context Aggregation by Dilated Convolutions"
"DeepLab","DeepLab","Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs"
"SwiftNetRN-18","SwiftNetRN-18","In Defense of Pre-trained ImageNet Architectures for Real-time Semantic Segmentation of Road-driving Images"
"FRRN","FRRN","Full-Resolution Residual Networks for Semantic Segmentation in Street Scenes"
"CRF-RNN","CRF-RNN","Conditional Random Fields as Recurrent Neural Networks"
"ENet","ENet","ENet: A Deep Neural Network Architecture for Real-Time Semantic Segmentation"
"Dilated FCN-2s RGB","Dilated FCN-2s RGB","Efficient Yet Deep Convolutional Neural Networks for Semantic Segmentation"
"DeepLabv3+ (Xception-JFT)","DeepLabv3+ (Xception-JFT)","Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation"
"DeepLabv3-JFT","DeepLabv3-JFT","Rethinking Atrous Convolution for Semantic Image Segmentation"
"Smooth Network with Channel Attention Block","Smooth Network with Channel Attention Block","Learning a Discriminative Feature Network for Semantic Segmentation"
"EncNet","EncNet","Context Encoding for Semantic Segmentation"
"ResNet-38 MS COCO","ResNet-38 MS COCO","Wider or Deeper: Revisiting the ResNet Model for Visual Recognition"
"Multipath-RefineNet","Multipath-RefineNet","RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation"
"Large Kernel Matters","Large Kernel Matters","Large Kernel Matters -- Improve Semantic Segmentation by Global Convolutional Network"
"TuSimple","TuSimple","Understanding Convolution for Semantic Segmentation"
"DeepLab-CRF (ResNet-101)","DeepLab-CRF (ResNet-101)","DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs"
"Deeplab-v2 with Lovasz-Softmax loss","Deeplab-v2 with Lovasz-Softmax loss","The Lovász-Softmax loss: A tractable surrogate for the optimization of the intersection-over-union measure in neural networks"
"ImageNet+JFT-300M Initialization","ImageNet+JFT-300M Initialization","Revisiting Unreasonable Effectiveness of Data in Deep Learning Era"
"DeepLab-MSc-CRF-LargeFOV","DeepLab-MSc-CRF-LargeFOV","Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs"
"ParseNet","ParseNet","ParseNet: Looking Wider to See Better"
"Dilated FCN-2s VGG19","Dilated FCN-2s VGG19","Efficient Yet Deep Convolutional Neural Networks for Semantic Segmentation"
"Dilated Convolutions","Dilated Convolutions","Multi-Scale Context Aggregation by Dilated Convolutions"
"EncNet + JPU","EncNet + JPU","FastFCN: Rethinking Dilated Convolution in the Backbone for Semantic Segmentation"
"RefineNet","RefineNet","RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation"
"DilatedNet","DilatedNet","Multi-Scale Context Aggregation by Dilated Convolutions"
"FC-DenseNet103","FC-DenseNet103","The One Hundred Layers Tiramisu: Fully Convolutional DenseNets for Semantic Segmentation"
"ReSeg","ReSeg","ReSeg: A Recurrent Neural Network-based Model for Semantic Segmentation"
"SGPN","SGPN","SGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation"
"PointNet++","PointNet++","PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space"
"Joint Pyramid Upsampling + EncNet","Joint Pyramid Upsampling + EncNet","FastFCN: Rethinking Dilated Convolution in the Backbone for Semantic Segmentation"
"DUpsampling","DUpsampling","Decoders Matter for Semantic Segmentation: Data-Dependent Decoding Enables Flexible Feature Aggregation"
"DeepLabV2","DeepLabV2","DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs"
"VeryDeep","VeryDeep","Bridging Category-level and Instance-level Semantic Image Segmentation"
"Piecewise","Piecewise","Efficient piecewise training of deep structured models for semantic segmentation"
"HO CRF","HO CRF","Higher Order Conditional Random Fields in Deep Neural Networks"
"BoxSup","BoxSup","BoxSup: Exploiting Bounding Boxes to Supervise Convolutional Networks for Semantic Segmentation"
"ParseNet ","ParseNet ","ParseNet: Looking Wider to See Better"
"FCN-8s","FCN-8s","Fully Convolutional Networks for Semantic Segmentation"
"Mapillary","Mapillary","In-Place Activated BatchNorm for Memory-Optimized Training of DNNs"
"OCNet","OCNet","OCNet: Object Context Network for Scene Parsing"
"Dual Attention Network","Dual Attention Network","Dual Attention Network for Scene Segmentation"
"ResNet-38","ResNet-38","Wider or Deeper: Revisiting the ResNet Model for Visual Recognition"
"C-SGC","C-SGC","Simplifying Graph Convolutional Networks"
"C-GCN","C-GCN","Graph Convolution over Pruned Dependency Trees Improves Relation Extraction"
"PA-LSTM","PA-LSTM","Position-aware Attention and Supervised Data Improve Slot Filling"
"Catena","Catena","CATENA: CAusal and TEmporal relation extraction from NAtural language texts"
"CAEVO","CAEVO",""
"Ning et al.","Ning et al.","A Structured Learning Approach to Temporal Relation Extraction"
"ClearTK","ClearTK",""
"CASENet","CASENet","CASENet: Deep Category-Aware Semantic Edge Detection"
"Kochkina et al. 2017","Kochkina et al. 2017","Turing at SemEval-2017 Task 8: Sequential Approach to Rumour Stance Classification with Branch-LSTM"
"Bahuleyan and Vechtomova 2017","Bahuleyan and Vechtomova 2017","UWaterloo at SemEval-2017 Task 8: Detecting Stance towards Rumours with Topic Independent Features"
"WaveNet (L+F)","WaveNet (L+F)","WaveNet: A Generative Model for Raw Audio"
"LSTM-RNN parametric","LSTM-RNN parametric","WaveNet: A Generative Model for Raw Audio"
"HMM-driven concatenative","HMM-driven concatenative","WaveNet: A Generative Model for Raw Audio"
"Tacotron 2","Tacotron 2","Natural TTS Synthesis by Conditioning WaveNet on Mel Spectrogram Predictions"
"WaveNet (Linguistic) ","WaveNet (Linguistic) ","Natural TTS Synthesis by Conditioning WaveNet on Mel Spectrogram Predictions"
"Tacotron","Tacotron","Tacotron: Towards End-to-End Speech Synthesis"
"V-Net + Dice-based loss","V-Net + Dice-based loss","V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation"
"Fully-connected CRF","Fully-connected CRF","Conditional Random Fields as Recurrent Neural Networks for 3D Medical Imaging Segmentation"
"U-Net","U-Net","U-Net: Convolutional Networks for Biomedical Image Segmentation"
"LiviaNet (SemiDenseNet)","LiviaNet (SemiDenseNet)","Deep CNN ensembles and suggestive annotations for infant brain MRI segmentation"
"R2U-Net","R2U-Net","Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation"
"Residual U-Net","Residual U-Net","Road Extraction by Deep Residual U-Net"
"Att U-Net","Att U-Net","Attention U-Net: Learning Where to Look for the Pancreas"
"Holistic-nested CNN","Holistic-nested CNN","Spatial Aggregation of Holistically-Nested Convolutional Neural Networks for Automated Pancreas Localization and Segmentation"
"Multi-class 3D FCN","Multi-class 3D FCN","An application of cascaded 3D fully convolutional networks for medical image segmentation"
"LadderNet","LadderNet","LadderNet: Multi-path networks based on U-Net for medical image segmentation"
"InputCascadeCNN","InputCascadeCNN","Brain Tumor Segmentation with Deep Neural Networks"
"CNN + 3D filters","CNN + 3D filters","CNN-based Segmentation of Medical Imaging Data"
"U-Net + more filters + data augmentation + dice-loss","U-Net + more filters + data augmentation + dice-loss","Brain Tumor Segmentation and Radiomics Survival Prediction: Contribution to the BRATS 2017 Challenge"
"AFN-6","AFN-6","Autofocus Layer for Semantic Segmentation"
"Multi-Scale 3D + FC-CRF","Multi-Scale 3D + FC-CRF","Efficient Multi-Scale 3D CNN with Fully Connected CRF for Accurate Brain Lesion Segmentation"
"Automatic skin lesion segmentation with fully convolutional-deconvolutional networks","Automatic skin lesion segmentation with fully convolutional-deconvolutional networks","Automatic skin lesion segmentation with fully convolutional-deconvolutional networks"
"Attn U-Net + Multi-Input + FTL","Attn U-Net + Multi-Input + FTL","A Novel Focal Tversky loss function with improved Attention U-Net for lesion segmentation"
"U-Net + FTL","U-Net + FTL","A Novel Focal Tversky loss function with improved Attention U-Net for lesion segmentation"
"Attn U-Net + DL","Attn U-Net + DL","A Novel Focal Tversky loss function with improved Attention U-Net for lesion segmentation"
"HyperDenseNet","HyperDenseNet","HyperDense-Net: A hyper-densely connected CNN for multi-modal image segmentation"
"GraphConv + dummy super node","GraphConv + dummy super node","Learning Graph-Level Representation for Drug Discovery"
"GraphConv","GraphConv","Convolutional Networks on Graphs for Learning Molecular Fingerprints"
"MPNNs","MPNNs","Neural Message Passing for Quantum Chemistry"
"Gated Graph Sequence NN","Gated Graph Sequence NN","Gated Graph Sequence Neural Networks"
"Molecular Graph Convolutions","Molecular Graph Convolutions","Molecular Graph Convolutions: Moving Beyond Fingerprints"
"SNN","SNN","Self-Normalizing Neural Networks"
"GraphConv + dummy super node + focal loss","GraphConv + dummy super node + focal loss","Learning Graph-Level Representation for Drug Discovery"
"FRAGE + AWD-LSTM-MoS + dynamic eval ","FRAGE + AWD-LSTM-MoS + dynamic eval ","FRAGE: Frequency-Agnostic Word Representation"
"AWD-LSTM-DOC x5","AWD-LSTM-DOC x5","Direct Output Connection for a High-Rank Language Model"
"Past Decode Reg. + AWD-LSTM-MoS + dyn. eval.","Past Decode Reg. + AWD-LSTM-MoS + dyn. eval.","Improved Language Modeling by Decoding the Past"
"AWD-LSTM-MoS + dynamic eval","AWD-LSTM-MoS + dynamic eval","Breaking the Softmax Bottleneck: A High-Rank RNN Language Model"
"AWD-LSTM + dynamic eval","AWD-LSTM + dynamic eval","Dynamic Evaluation of Neural Sequence Models"
"AWD-LSTM-DOC + Partial Shuffle","AWD-LSTM-DOC + Partial Shuffle","Partially Shuffling the Training Data to Improve Language Models"
"AWD-LSTM-DOC","AWD-LSTM-DOC","Direct Output Connection for a High-Rank Language Model"
"AWD-LSTM + continuous cache pointer","AWD-LSTM + continuous cache pointer","Regularizing and Optimizing LSTM Language Models"
"AWD-LSTM-MoS + Partial Shuffle","AWD-LSTM-MoS + Partial Shuffle","Partially Shuffling the Training Data to Improve Language Models"
"Trellis Network","Trellis Network","Trellis Networks for Sequence Modeling"
"AWD-LSTM-MoS","AWD-LSTM-MoS","Breaking the Softmax Bottleneck: A High-Rank RNN Language Model"
"Transformer-XL","Transformer-XL","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"2-layer skip-LSTM + dropout tuning ","2-layer skip-LSTM + dropout tuning ","Pushing the bounds of dropout"
"Differentiable NAS","Differentiable NAS","DARTS: Differentiable Architecture Search"
"AWD-LSTM 3-layer with Fraternal dropout","AWD-LSTM 3-layer with Fraternal dropout","Fraternal Dropout"
"AWD-LSTM","AWD-LSTM","Regularizing and Optimizing LSTM Language Models"
"Efficient NAS","Efficient NAS","Efficient Neural Architecture Search via Parameter Sharing"
"NAS Cell","NAS Cell","Neural Architecture Search with Reinforcement Learning"
"Recurrent highway networks","Recurrent highway networks","Recurrent Highway Networks"
"Tied Variational LSTM + augmented loss","Tied Variational LSTM + augmented loss","Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling"
"Transformer-XL - 24 layers","Transformer-XL - 24 layers","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"Transformer-XL - 18 layers","Transformer-XL - 18 layers","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"64-layer Transformer","64-layer Transformer","Character-Level Language Modeling with Deeper Self-Attention"
"Transformer-XL - 12 layers","Transformer-XL - 12 layers","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"12-layer Transformer","12-layer Transformer","Character-Level Language Modeling with Deeper Self-Attention"
"Large mLSTM","Large mLSTM","Multiplicative LSTM for sequence modelling"
"Large FS-LSTM-4","Large FS-LSTM-4","Fast-Slow Recurrent Neural Networks"
"LN HM-LSTM","LN HM-LSTM","Hierarchical Multiscale Recurrent Neural Networks"
"Hypernetworks","Hypernetworks","HyperNetworks"
"Transformer-XL Large","Transformer-XL Large","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"Transformer with tied adaptive embeddings","Transformer with tied adaptive embeddings","Adaptive Input Representations for Neural Language Modeling"
"Transformer-XL Standard","Transformer-XL Standard","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"LSTM + Hebbian + Cache + MbPA","LSTM + Hebbian + Cache + MbPA","Fast Parametric Learning with Activation Memorization"
"4-layer QRNN","4-layer QRNN","An Analysis of Neural Language Modeling at Multiple Scales"
"LSTM + Hebbian","LSTM + Hebbian","Fast Parametric Learning with Activation Memorization"
"LSTM","LSTM","Fast Parametric Learning with Activation Memorization"
"Gated CNN","Gated CNN","Language Modeling with Gated Convolutional Networks"
"Neural cache model","Neural cache model","Improving Neural Language Models with a Continuous Cache"
"Temporal CNN","Temporal CNN","Convolutional Sequence Modeling Revisited"
"LSTM","LSTM","Improving Neural Language Models with a Continuous Cache"
"Adaptive Input Very Large","Adaptive Input Very Large","Adaptive Input Representations for Neural Language Modeling"
"Transformer-XL Base","Transformer-XL Base","Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context"
"Adaptive Input Large","Adaptive Input Large","Adaptive Input Representations for Neural Language Modeling"
"Mesh Tensorflow","Mesh Tensorflow","Mesh-TensorFlow: Deep Learning for Supercomputers"
"DynamicConv","DynamicConv","Pay Less Attention with Lightweight and Dynamic Convolutions"
"High-Budget MoE","High-Budget MoE","Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer"
