"name","link","description","date"
"CRN","http://arxiv.org/abs/1707.09405v1","Photographic Image Synthesis with Cascaded Refinement Networks","2017-07-28"
"SIMS","http://arxiv.org/abs/1804.10992v1","Semi-parametric Image Synthesis","2018-04-29"
"PGGAN","http://arxiv.org/abs/1710.10196v3","Progressive Growing of GANs for Improved Quality, Stability, and Variation","2017-10-27"
"MMD-GAN-rep","http://arxiv.org/abs/1812.09916v4","Improving MMD-GAN Training with Repulsive Loss Function","2018-12-24"
"SN-GANs","http://arxiv.org/abs/1802.05957v1","Spectral Normalization for Generative Adversarial Networks","2018-02-16"
"MSG-GAN","http://arxiv.org/abs/1903.06048v2","MSG-GAN: Multi-Scale Gradient GAN for Stable Image Synthesis","2019-03-14"
"SN-SMMDGAN","http://arxiv.org/abs/1805.11565v4","On gradient regularizers for MMD GANs","2018-05-29"
"LR-GAN","http://arxiv.org/abs/1703.01560v3","LR-GAN: Layered Recursive Generative Adversarial Networks for Image Generation","2017-03-05"
"CEGAN-Ent-VI","http://arxiv.org/abs/1702.01691v2","Calibrating Energy-based Generative Adversarial Networks","2017-02-06"
"GMAN","http://arxiv.org/abs/1611.01673v3","Generative Multi-Adversarial Networks","2016-11-05"
"BEGAN","http://arxiv.org/abs/1703.10717v4","BEGAN: Boundary Equilibrium Generative Adversarial Networks","2017-03-31"
"ALI","http://arxiv.org/abs/1606.00704v3","Adversarially Learned Inference","2016-06-02"
"NICE","http://arxiv.org/abs/1410.8516v6","NICE: Non-linear Independent Components Estimation","2014-10-30"
"DRAW","http://arxiv.org/abs/1502.04623v2","DRAW: A Recurrent Neural Network For Image Generation","2015-02-16"
"Real NVP","http://arxiv.org/abs/1605.08803v3","Density estimation using Real NVP","2016-05-27"
"VAE with IAF","http://papers.nips.cc/paper/6581-improved-variational-inference-with-inverse-autoregressive-flow","Improved Variational Inference with Inverse Autoregressive Flow",""
"PixelRNN","http://arxiv.org/abs/1605.08803v3","Density estimation using Real NVP","2016-05-27"
"PixelCNN++","","",""
"Image Transformer","http://arxiv.org/abs/1802.05751v3","Image Transformer","2018-02-15"
"WGAN-GP + TT Update Rule","http://arxiv.org/abs/1706.08500v6","GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium","2017-06-26"
"RSGAN-GP","http://arxiv.org/abs/1807.00734v3","The relativistic discriminator: a key element missing from standard GAN","2018-07-02"
"FOGAN","http://arxiv.org/abs/1802.04591v2","First Order Generative Adversarial Networks","2018-02-13"
"MSGAN","http://arxiv.org/abs/1903.05628v3","Mode Seeking Generative Adversarial Networks for Diverse Image Synthesis","2019-03-13"
"COCO-GAN","http://arxiv.org/abs/1904.00284v1","COCO-GAN: Generation by Parts via Conditional Coordinating","2019-03-30"
"RaSGAN","http://arxiv.org/abs/1807.00734v3","The relativistic discriminator: a key element missing from standard GAN","2018-07-02"
"StyleGAN","http://arxiv.org/abs/1812.04948v3","A Style-Based Generator Architecture for Generative Adversarial Networks","2018-12-12"
"CRIM","https://aclanthology.coli.uni-saarland.de/papers/S18-1116/s18-1116","CRIM at SemEval-2018 Task 9: A Hybrid Approach to Hypernym Discovery","2018-06-01"
"MFH","","",""
"300-sparsans","https://aclanthology.coli.uni-saarland.de/papers/S18-1152/s18-1152","300-sparsans at SemEval-2018 Task 9: Hypernymy as interaction of sparse attributes","2018-06-01"
"vTE","https://aclanthology.coli.uni-saarland.de/papers/D16-1041/d16-1041","Supervised Distributional Hypernym Discovery via Domain Adaptation","2016-11-01"
"EXPR","https://aclanthology.coli.uni-saarland.de/papers/S18-1150/s18-1150","EXPR at SemEval-2018 Task 9: A Combined Approach for Hypernym Discovery","2018-06-01"
"SJTU BCMI","https://aclanthology.coli.uni-saarland.de/papers/S18-1147/s18-1147","SJTU-NLP at SemEval-2018 Task 9: Neural Hypernym Discovery with Term Embeddings","2018-06-01"
"ADAPT","https://aclanthology.coli.uni-saarland.de/papers/S18-1151/s18-1151","ADAPT at SemEval-2018 Task 9: Skip-Gram Word Embeddings for Unsupervised Hypernym Discovery in Specialised Corpora","2018-06-01"
"balAPInc","http://arxiv.org/abs/1612.04460v2","Hypernyms under Siege: Linguistically-motivated Artillery for Hypernymy Detection","2016-12-14"
"NLP_HZ","https://aclanthology.coli.uni-saarland.de/papers/S18-1148/s18-1148","NLP_HZ at SemEval-2018 Task 9: a Nearest Neighbor Approach","2018-06-01"
"Apollo","https://aclanthology.coli.uni-saarland.de/papers/S18-1146/s18-1146","Apollo at SemEval-2018 Task 9: Detecting Hypernymy Relations Using Syntactic Dependencies","2018-06-01"
"CRF-ASN","http://arxiv.org/abs/1711.05568v1","Dialogue Act Recognition via CRF-Attentive Structured Network","2017-11-15"
"Bi-LSTM-CRF","http://arxiv.org/abs/1709.04250v2","Dialogue Act Sequence Labeling using Hierarchical encoder with CRF","2017-09-13"
"RNN with 3 utterances in context","http://arxiv.org/abs/1805.06280v1","A Context-based Approach for Dialogue Act Recognition using Simple Recurrent Neural Networks","2018-05-16"
"RNN","","",""
"Neural belief tracker","http://arxiv.org/abs/1606.03777v2","Neural Belief Tracker: Data-Driven Dialogue State Tracking","2016-06-12"
"Liu et al.","http://arxiv.org/abs/1804.06512v1","Dialogue Learning with Human Teaching and Feedback in End-to-End Trainable Task-Oriented Dialogue Systems","2018-04-18"
"Zhong et al.","http://arxiv.org/abs/1805.09655v3","Global-Locally Self-Attentive Dialogue State Tracker","2018-05-19"
"GATE","","",""
"Adversarial Bi-LSTM","http://arxiv.org/abs/1711.04903v2","Robust Multilingual Part-of-Speech Tagging via Adversarial Training","2017-11-14"
"Bi-LSTM","http://arxiv.org/abs/1604.05529v3","Multilingual Part-of-Speech Tagging with Bidirectional Long Short-Term Memory Models and Auxiliary Loss","2016-04-19"
"Joint Bi-LSTM","http://arxiv.org/abs/1705.05952v2","A Novel Neural Network Model for Joint POS Tagging and Graph-based Dependency Parsing","2017-05-16"
"Meta BiLSTM","http://arxiv.org/abs/1805.08237v1","Morphosyntactic Tagging with a Meta-BiLSTM Model over Context Sensitive Token Encodings","2018-05-21"
"Char Bi-LSTM","http://arxiv.org/abs/1508.02096v2","Finding Function in Form: Compositional Character Models for Open Vocabulary Word Representation","2015-08-09"
"Feed Forward","https://aclanthology.coli.uni-saarland.de/papers/N16-1027/n16-1027","Supertagging With LSTMs","2016-06-01"
"Bi-LSTM","http://arxiv.org/abs/1508.02096v2","Finding Function in Form: Compositional Character Models for Open Vocabulary Word Representation","2015-08-09"
"Deep Speech 2","http://arxiv.org/abs/1512.02595v1","Deep Speech 2: End-to-End Speech Recognition in English and Mandarin","2015-12-08"
"Deep Speech","http://arxiv.org/abs/1412.5567v2","Deep Speech: Scaling up end-to-end speech recognition","2014-12-17"
"HMM-TDNN(LFMMI) + LSTMLM + NN-GEV","http://arxiv.org/abs/1803.10109v1","Building state-of-the-art distant speech recognition using the CHiME-4 challenge with a setup of speech enhancement baseline","2018-03-27"
"CNN + Bi-RNN + CTC (speech to letters)","http://arxiv.org/abs/1412.5567v2","Deep Speech: Scaling up end-to-end speech recognition","2014-12-17"
"HMM-TDNN(LFMMI) + LSTMLM ","http://arxiv.org/abs/1803.10109v1","Building state-of-the-art distant speech recognition using the CHiME-4 challenge with a setup of speech enhancement baseline","2018-03-27"
"Li-GRU","http://arxiv.org/abs/1811.07453v2","The PyTorch-Kaldi Speech Recognition Toolkit","2018-11-19"
"tdnn + chain + rnnlm rescoring","https://www.cs.jhu.edu/~hxu/neural-network-language.pdf","Neural Network Language Modeling with Letter-based Features and Importance Sampling","2018-04-15"
"TDNN + pNorm + speed updown speech","","",""
"HMM-DNN + pNorm*","","",""
"Snips","http://arxiv.org/abs/1805.10190v3","Snips Voice Platform: an embedded Spoken Language Understanding system for private-by-design voice interfaces","2018-05-25"
"HMM-(SAT)GMM","","",""
"ResNet + BiLSTMs acoustic model","http://arxiv.org/abs/1703.02136v1","English Conversational Telephone Speech Recognition by Humans and Machines","2017-03-06"
"Microsoft 2016b","http://arxiv.org/abs/1610.05256v2","Achieving Human Parity in Conversational Speech Recognition","2016-10-17"
"Microsoft 2016","http://arxiv.org/abs/1609.03528v2","The Microsoft 2016 Conversational Speech Recognition System","2016-09-12"
"VGGResnetLACEBiLSTM acoustic model trained on SWB+Fisher+CH, N-gram + RNNLM language model trained on Switchboard+Fisher+Gigaword+Broadcast","http://arxiv.org/abs/1609.03528v2","The Microsoft 2016 Conversational Speech Recognition System","2016-09-12"
"RNN + VGG + LSTM acoustic model trained on SWB+Fisher+CH, N-gram + model M + NNLM language model","http://arxiv.org/abs/1604.08242v2","The IBM 2016 English Conversational Telephone Speech Recognition System","2016-04-27"
"CNN-LSTM","http://arxiv.org/abs/1610.05256v2","Achieving Human Parity in Conversational Speech Recognition","2016-10-17"
"IBM 2016","http://arxiv.org/abs/1604.08242v2","The IBM 2016 English Conversational Telephone Speech Recognition System","2016-04-27"
"RNNLM","http://arxiv.org/abs/1609.03528v2","The Microsoft 2016 Conversational Speech Recognition System","2016-09-12"
"IBM 2015","http://arxiv.org/abs/1505.05899v1","The IBM 2015 English Conversational Telephone Speech Recognition System","2015-05-21"
"HMM-BLSTM trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher","","",""
"HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations + Fisher (10%  15.1% respectively trained on SWBD only)","","",""
"CNN on MFSCfbanks + 1 non-conv layer for FMLLRI-Vectors concatenated in a DNN","","",""
"HMM-TDNN + iVectors","","",""
"Deep CNN (10 conv, 4 FC layers), multi-scale feature maps","http://arxiv.org/abs/1509.08967v2","Very Deep Multilingual Convolutional Neural Networks for LVCSR","2015-09-29"
"HMM-DNN +sMBR","","",""
"DNN sMBR","","",""
"Deep Speech + FSH","http://arxiv.org/abs/1412.5567v2","Deep Speech: Scaling up end-to-end speech recognition","2014-12-17"
"CNN + Bi-RNN + CTC (speech to letters), 25.9% WER if trainedonlyon SWB","http://arxiv.org/abs/1412.5567v2","Deep Speech: Scaling up end-to-end speech recognition","2014-12-17"
"DNN MMI","","",""
"DNN MPE","","",""
"DNN BMMI","","",""
"HMM-TDNN + pNorm + speed updown speech","","",""
"DNN + Dropout","http://arxiv.org/abs/1406.7806v2","Building DNN Acoustic Models for Large Vocabulary Speech Recognition","2014-06-30"
"DNN","http://arxiv.org/abs/1406.7806v2","Building DNN Acoustic Models for Large Vocabulary Speech Recognition","2014-06-30"
"CD-DNN","","",""
"DNN-HMM","","",""
"LiGRU + Dropout + BatchNorm + Monophone Reg","http://arxiv.org/abs/1811.07453v2","The PyTorch-Kaldi Speech Recognition Toolkit","2018-11-19"
"LSTM + Dropout + BatchNorm + Monophone Reg","http://arxiv.org/abs/1811.07453v2","The PyTorch-Kaldi Speech Recognition Toolkit","2018-11-19"
"Li-GRU + fMLLR features","http://arxiv.org/abs/1803.10225v1","Light Gated Recurrent Units for Speech Recognition","2018-03-26"
"GRU + Dropout + BatchNorm + Monophone Reg","http://arxiv.org/abs/1811.07453v2","The PyTorch-Kaldi Speech Recognition Toolkit","2018-11-19"
"RNN + Dropout + BatchNorm + Monophone Reg","http://arxiv.org/abs/1811.07453v2","The PyTorch-Kaldi Speech Recognition Toolkit","2018-11-19"
"LSTM","http://arxiv.org/abs/1811.07453v2","The PyTorch-Kaldi Speech Recognition Toolkit","2018-11-19"
"Hierarchical maxout CNN + Dropout","","",""
"RNN","http://arxiv.org/abs/1811.07453v2","The PyTorch-Kaldi Speech Recognition Toolkit","2018-11-19"
"GRU","http://arxiv.org/abs/1811.07453v2","The PyTorch-Kaldi Speech Recognition Toolkit","2018-11-19"
"CNN in time and frequency + dropout, 17.6% wo dropout","","",""
"Light Gated Recurrent Units","http://arxiv.org/abs/1803.10225v1","Light Gated Recurrent Units for Speech Recognition","2018-03-26"
"RNN-CRF on 24(x3) MFSC","http://arxiv.org/abs/1603.00223v2","Segmental Recurrent Neural Networks for End-to-end Speech Recognition","2016-03-01"
"Bi-RNN + Attention","http://arxiv.org/abs/1506.07503v1","Attention-Based Models for Speech Recognition","2015-06-24"
"Bi-LSTM + skip connections w CTC","http://arxiv.org/abs/1303.5778v1","Speech Recognition with Deep Recurrent Neural Networks","2013-03-22"
"QCNN-10L-256FM","http://arxiv.org/abs/1806.07789v1","Quaternion Convolutional Neural Networks for End-to-End Automatic Speech Recognition","2018-06-20"
"Soft Monotonic Attention (ours, offline)","http://arxiv.org/abs/1704.00784v2","Online and Linear-Time Attention by Enforcing Monotonic Alignments","2017-04-03"
"(first, modern) HMM-DBN","","",""
"HMM-BLSTMtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD","","",""
"HMM-TDNNtrained with MMI + data augmentation (speed) + iVectors + 3 regularizations + SWBD","","",""
"tdnn + chain","https://www.danielpovey.com/files/2016_interspeech_mmi.pdf","Purely sequence-trained neural networks for ASR based on lattice-free MMI","2016-09-08"
"End-to-end LF-MMI","https://www.isca-speech.org/archive/Interspeech_2018/abstracts/1423.html","End-to-end speech recognition using lattice-free MMI","2018-09-06"
"TC-DNN-BLSTM-DNN","http://arxiv.org/abs/1504.01482v1","Deep Recurrent Neural Networks for Acoustic Modelling","2015-04-07"
"test-set on open vocabulary (i.e. harder), model = HMM-DNN + pNorm*","","",""
"CNN over RAW speech (wav)","","",""
"VoiceFilter: bi-LSTM","http://arxiv.org/abs/1810.04826v4","VoiceFilter: Targeted Voice Separation by Speaker-Conditioned Spectrogram Masking","2018-10-11"
"Seq-to-seq attention","http://arxiv.org/abs/1805.03294v1","Improved training of end-to-end attention models for speech recognition","2018-05-08"
"HMM-TDNN trained with MMI + data augmentation (speed) + iVectors + 3 regularizations","","",""
"Gated ConvNets","http://arxiv.org/abs/1712.09444v2","Letter-Based Speech Recognition with Gated ConvNets","2017-12-22"
"CTC + policy learning","http://arxiv.org/abs/1712.07101v1","Improving End-to-End Speech Recognition with Policy Learning","2017-12-19"
"chain + tdnn + rnnlm rescoring, https:github.comkaldi-asrkaldiblobmasteregslibrispeechs5localrnnlmtuningrun_tdnn_lstm_1a.sh","https://www.cs.jhu.edu/~hxu/neural-network-language.pdf","Neural Network Language Modeling with Letter-based Features and Importance Sampling","2018-04-15"
"Residual net + Pseudo Sketch Feature Loss + LSGAN","http://arxiv.org/abs/1812.04929v1","Semi-Supervised Learning for Face Sketch Synthesis in the Wild","2018-12-12"
"PS2-MAN","http://arxiv.org/abs/1710.10182v2","High-Quality Facial Photo-Sketch Synthesis Using Multi-Adversarial Networks","2017-10-27"
"HP-net","http://arxiv.org/abs/1709.09930v1","HydraPlus-Net: Attentive Deep Features for Pedestrian Analysis","2017-09-28"
"MicronNet (fp16)","http://arxiv.org/abs/1804.00497v3","MicronNet: A Highly Compact Deep Convolutional Neural Network Architecture for Real-time Embedded Traffic Sign Classification","2018-03-28"
"Hierarchical + Background Threshold Model","http://arxiv.org/abs/1806.07987v2","A Hierarchical Deep Architecture and Mini-Batch Selection Method For Joint Traffic Sign and Light Detection","2018-06-20"
"Hierarchical Model","http://arxiv.org/abs/1806.07987v2","A Hierarchical Deep Architecture and Mini-Batch Selection Method For Joint Traffic Sign and Light Detection","2018-06-20"
"Background Threshold Model","http://arxiv.org/abs/1806.07987v2","A Hierarchical Deep Architecture and Mini-Batch Selection Method For Joint Traffic Sign and Light Detection","2018-06-20"
"VPGNet","http://arxiv.org/abs/1710.06288v1","VPGNet: Vanishing Point Guided Network for Lane and Road Marking Detection and Recognition","2017-10-17"
"Overfeat CNN detector + DBSCAN","http://arxiv.org/abs/1504.01716v3","An Empirical Evaluation of Deep Learning on Highway Driving","2015-04-07"
"Spatial CNN","http://arxiv.org/abs/1712.06080v1","Spatial As Deep: Spatial CNN for Traffic Scene Understanding","2017-12-17"
"Pairwise pixel supervision + FCN","http://arxiv.org/abs/1803.06459v1","Learning to Cluster for Proposal-Free Instance Segmentation","2018-03-17"
"LaneNet","http://arxiv.org/abs/1802.05591v1","Towards End-to-End Lane Detection: an Instance Segmentation Approach","2018-02-15"
"Discriminative loss function","http://arxiv.org/abs/1708.02551v1","Semantic Instance Segmentation with a Discriminative Loss Function","2017-08-08"
"SDS-RCNN","http://arxiv.org/abs/1706.08564v1","Illuminating Pedestrians via Simultaneous Detection & Segmentation","2017-06-26"
"F-DNN+SS","http://arxiv.org/abs/1610.03466v2","Fused DNN: A deep neural network fusion approach to fast and robust pedestrian detection","2016-10-11"
"SA-FastRCNN","http://arxiv.org/abs/1510.08160v3","Scale-aware Fast R-CNN for Pedestrian Detection","2015-10-28"
"MS-CNN","http://arxiv.org/abs/1607.07155v1","A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection","2016-07-25"
"CompACT-Deep","http://arxiv.org/abs/1507.05348v1","Learning Complexity-Aware Cascades for Deep Pedestrian Detection","2015-07-19"
"Part-level CNN + saliency and bounding box alignment","http://arxiv.org/abs/1810.00689v1","Part-Level Convolutional Neural Networks for Pedestrian Detection Using Saliency and Boundary Box Alignment","2018-10-01"
"Checkerboards+","http://arxiv.org/abs/1501.05759v1","Filtered Channel Features for Pedestrian Detection","2015-01-23"
"TA-CNN","http://arxiv.org/abs/1412.0069v1","Pedestrian Detection aided by Deep Learning Semantic Tasks","2014-11-29"
"AlexNet","http://arxiv.org/abs/1501.05790v1","Taking a Deeper Look at Pedestrians","2015-01-23"
"LDCF","http://papers.nips.cc/paper/5419-local-decorrelation-for-improved-pedestrian-detection","Local Decorrelation For Improved Pedestrian Detection",""
"CNN features + Bayesian ridge regression","http://arxiv.org/abs/1803.07253v1","Transferring Rich Deep Features for Facial Beauty Prediction","2018-03-20"
"Combined Features + Gaussian Reg","http://arxiv.org/abs/1801.06345v1","SCUT-FBP5500: A Diverse Benchmark Dataset for Multi-Paradigm Facial Beauty Prediction","2018-01-19"
"Multi-View","http://arxiv.org/abs/1704.07863v2","Multi-View Dynamic Facial Action Unit Detection","2017-04-25"
"Baseline","http://arxiv.org/abs/1702.04174v1","FERA 2017 - Addressing Head Pose in the Third Facial Expression Recognition and Analysis Challenge","2017-02-14"
"GFA-CNN","http://arxiv.org/abs/1901.05602v1","Learning Generalizable and Identity-Discriminative Representations for Face Anti-Spoofing","2019-01-17"
"Color LBP","http://arxiv.org/abs/1511.06316v1","face anti-spoofing based on color texture analysis","2015-11-19"
"DLDL+VGG-Face","http://arxiv.org/abs/1611.01731v2","Deep Label Distribution Learning with Label Ambiguity","2016-11-06"
"CMAAE-OR","http://arxiv.org/abs/1804.02740v1","Facial Aging and Rejuvenation by Conditional Multi-Adversarial Autoencoder with Ordinal Regression","2018-04-08"
"CORAL","http://arxiv.org/abs/1901.07884v2","Consistent Rank Logits for Ordinal Regression with Convolutional Neural Networks","2019-01-20"
"SAN GT","http://arxiv.org/abs/1803.04108v4","Style Aggregated Network for Facial Landmark Detection","2018-03-12"
"Pose-Invariant","http://arxiv.org/abs/1707.06286v1","Pose-Invariant Face Alignment with a Single CNN","2017-07-19"
"FPN","http://arxiv.org/abs/1708.07517v2","FacePoseNet: Making a Case for Landmark-Free Face Alignment","2017-08-24"
"SAN","http://arxiv.org/abs/1803.04108v4","Style Aggregated Network for Facial Landmark Detection","2018-03-12"
"PRN","http://arxiv.org/abs/1803.07835v1","Joint 3D Face Reconstruction and Dense Alignment with Position Map Regression Network","2018-03-21"
"VRN-Guided","http://arxiv.org/abs/1703.07834v2","Large Pose 3D Face Reconstruction from a Single Image via Direct Volumetric CNN Regression","2017-03-22"
"GANFit","http://arxiv.org/abs/1902.05978v1","GANFIT: Generative Adversarial Network Fitting for High Fidelity 3D Face Reconstruction","2019-02-15"
"Unsupervised-3DMMR","http://arxiv.org/abs/1806.06098v1","Unsupervised Training for 3D Morphable Model Regression","2018-06-15"
"itwmm","http://arxiv.org/abs/1701.05360v1","3D Face Morphable Models In-the-Wild","2017-01-19"
"3DMM-CNN","http://arxiv.org/abs/1612.04904v1","Regressing Robust and Discriminative 3D Morphable Models with a very Deep Neural Network","2016-12-15"
"DeFA","http://arxiv.org/abs/1709.01442v1","Dense Face Alignment","2017-09-05"
"Deep Residual Equivariant Mapping","http://arxiv.org/abs/1803.00839v1","Pose-Robust Face Recognition via Deep Residual Equivariant Mapping","2018-03-02"
"ArcFace + MS1MV2 + R100 + R","http://arxiv.org/abs/1801.07698v3","ArcFace: Additive Angular Margin Loss for Deep Face Recognition","2018-01-23"
"CosFace","http://arxiv.org/abs/1801.09414v2","CosFace: Large Margin Cosine Loss for Deep Face Recognition","2018-01-29"
"SphereFace (3-patch ensemble)","http://arxiv.org/abs/1704.08063v4","SphereFace: Deep Hypersphere Embedding for Face Recognition","2017-04-26"
"Light CNN-29","http://arxiv.org/abs/1511.02683v4","A Light CNN for Deep Face Representation with Noisy Labels","2015-11-09"
"SphereFace (single model)","http://arxiv.org/abs/1704.08063v4","SphereFace: Deep Hypersphere Embedding for Face Recognition","2017-04-26"
"FaceNet","http://arxiv.org/abs/1503.03832v3","FaceNet: A Unified Embedding for Face Recognition and Clustering","2015-03-12"
"Deep CNN","http://arxiv.org/abs/1602.00172v2","Deep Learning For Smile Recognition","2016-01-30"
"Covariance Pooling","http://arxiv.org/abs/1805.04855v1","Covariance Pooling For Facial Expression Recognition","2018-05-13"
"Sequential forward selection","http://arxiv.org/abs/1701.01879v2","Greedy Search for Descriptive Spatial Face Features","2017-01-07"
"DeXpression","http://arxiv.org/abs/1509.05371v2","DeXpression: Deep Convolutional Neural Network for Expression Recognition","2015-09-17"
"DAN-Menpo + bounding box diagonal normalization","http://arxiv.org/abs/1706.01789v2","Deep Alignment Network: A convolutional neural network for robust face alignment","2017-06-06"
"SIR-LAN","http://arxiv.org/abs/1803.06598v1","Facial Landmarks Detection by Self-Iterative Regression based Landmarks-Attention Network","2018-03-18"
"DAN-Menpo + inter-ocular normalization","http://arxiv.org/abs/1706.01789v2","Deep Alignment Network: A convolutional neural network for robust face alignment","2017-06-06"
"LAB + Oracle + Inter-ocular Normalisation","http://arxiv.org/abs/1805.10483v1","Look at Boundary: A Boundary-Aware Face Alignment Algorithm","2018-05-26"
"2DASL","http://arxiv.org/abs/1903.09359v1","Joint 3D Face Reconstruction and Dense Face Alignment from A Single Image with 2D-Assisted Self-Supervised Learning","2019-03-22"
"3DSTN","http://arxiv.org/abs/1707.05653v2","Faster Than Real-time Facial Alignment: A 3D Spatial Transformer Network Approach in Unconstrained Poses","2017-07-18"
"3DDFA + SDM","http://arxiv.org/abs/1511.07212v1","Face Alignment Across Large Poses: A 3D Solution","2015-11-23"
"FPN","http://arxiv.org/abs/1803.07835v1","Joint 3D Face Reconstruction and Dense Alignment with Position Map Regression Network","2018-03-21"
"Nonlinear 3D Face Morphable Model","http://arxiv.org/abs/1804.03786v3","Nonlinear 3D Face Morphable Model","2018-04-11"
"MCL","http://arxiv.org/abs/1808.01558v2","Deep Multi-Center Learning for Face Alignment","2018-08-05"
"DisguiseNet","http://arxiv.org/abs/1804.09669v2","DisguiseNet : A Contrastive Approach for Disguised Face Verification in the Wild","2018-04-25"
"VGG-Face model features + cosine similarity metric","http://arxiv.org/abs/1811.08837v1","Recognizing Disguised Faces in the Wild","2018-11-21"
"Dual-Agent GANs","http://papers.nips.cc/paper/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis","Dual-Agent GANs for Photorealistic and Identity Preserving Profile Face Synthesis",""
"L2-constrained softmax loss","http://arxiv.org/abs/1703.09507v3","L2-constrained Softmax Loss for Discriminative Face Verification","2017-03-28"
"NAN","http://arxiv.org/abs/1603.05474v4","Neural Aggregation Network for Video Face Recognition","2016-03-17"
"Template adaptation","http://arxiv.org/abs/1603.03958v3","Template Adaptation for Face Verification and Identification","2016-03-12"
"All-in-one CNN","http://arxiv.org/abs/1611.00851v1","An All-In-One Convolutional Neural Network for Face Analysis","2016-11-03"
"Triplet probabilistic embedding","http://arxiv.org/abs/1604.05417v3","Triplet Probabilistic Embedding for Face Verification and Clustering","2016-04-19"
"Synthesis as data augmentation","http://arxiv.org/abs/1603.07057v2","Do We Really Need to Collect Millions of Faces for Effective Face Recognition?","2016-03-23"
"DCNN","http://arxiv.org/abs/1508.01722v2","Unconstrained Face Verification using Deep CNN Features","2015-08-07"
"Deep multi-pose representations","http://arxiv.org/abs/1603.07388v1","Face Recognition Using Deep Multi-Pose Representations","2016-03-23"
"Deep CNN + COTS matcher","http://arxiv.org/abs/1507.07242v2","Face Search at Scale: 80 Million Gallery","2015-07-26"
"AIM","http://arxiv.org/abs/1809.00338v2","Look Across Elapse: Disentangled Representation Learning and Photorealistic Cross-Age Face Synthesis for Age-Invariant Face Recognition","2018-09-02"
"MN-vc","http://arxiv.org/abs/1807.09192v1","Multicolumn Networks for Face Recognition","2018-07-24"
"SeqFace, 1 ResNet-64","http://arxiv.org/abs/1803.06524v2","SeqFace: Make full use of sequence information for face recognition","2018-03-17"
"ArcFace + MS1MV2 + R100, ","http://arxiv.org/abs/1801.07698v3","ArcFace: Additive Angular Margin Loss for Deep Face Recognition","2018-01-23"
"QAN","http://arxiv.org/abs/1704.03373v1","Quality Aware Network for Set to Set Recognition","2017-04-11"
"Git Loss","http://arxiv.org/abs/1807.08512v4","Git Loss for Deep Face Recognition","2018-07-23"
"SphereFace","http://arxiv.org/abs/1704.08063v4","SphereFace: Deep Hypersphere Embedding for Face Recognition","2017-04-26"
"DeepId2+","http://arxiv.org/abs/1412.1265v1","Deeply learned face representations are sparse, selective, and robust","2014-12-03"
"3DMM face shape parameters + CNN","http://arxiv.org/abs/1612.04904v1","Regressing Robust and Discriminative 3D Morphable Models with a very Deep Neural Network","2016-12-15"
"Ring loss","http://arxiv.org/abs/1803.00130v1","Ring loss: Convex Feature Normalization for Face Recognition","2018-02-28"
"DeepId2","http://arxiv.org/abs/1406.4773v1","Deep Learning Face Representation by Joint Identification-Verification","2014-06-18"
"SeqFace","http://arxiv.org/abs/1803.06524v2","SeqFace: Make full use of sequence information for face recognition","2018-03-17"
"GaussianFace","http://arxiv.org/abs/1404.3840v3","Surpassing Human-Level Face Verification Performance on LFW with GaussianFace","2014-04-15"
"FAN","http://arxiv.org/abs/1711.07246v2","Face Attention Network: An Effective Face Detector for the Occluded Faces","2017-11-20"
"AOFD","http://arxiv.org/abs/1709.05188v6","Adversarial Occlusion-aware Face Detection","2017-09-15"
"SRN","http://arxiv.org/abs/1809.02693v1","Selective Refinement Network for High Performance Face Detection","2018-09-07"
"S3FD","http://arxiv.org/abs/1708.05237v3","S$^3$FD: Single Shot Scale-invariant Face Detector","2017-08-17"
"Anchor-based","http://arxiv.org/abs/1811.11662v1","Robust Face Detection via Learning Small Faces on Hard Images","2018-11-28"
"HyperFace-ResNet","http://arxiv.org/abs/1603.01249v3","HyperFace: A Deep Multi-task Learning Framework for Face Detection, Landmark Localization, Pose Estimation, and Gender Recognition","2016-03-03"
"LRN + RSA","http://arxiv.org/abs/1707.09531v2","Recurrent Scale Approximation for Object Detection in CNN","2017-07-29"
"FaceBoxes","http://arxiv.org/abs/1708.05234v4","FaceBoxes: A CPU Real-time Face Detector with High Accuracy","2017-08-17"
"STN","http://arxiv.org/abs/1607.05477v1","Supervised Transformer Network for Efficient Face Detection","2016-07-19"
"DPM","http://arxiv.org/abs/1408.1656v3","A Fast and Accurate Unconstrained Face Detector","2014-08-06"
"Conv3D","http://arxiv.org/abs/1606.00850v3","Face Detection with End-to-End Integration of a ConvNet and a 3D Model","2016-06-02"
"DSFD","http://arxiv.org/abs/1810.10220v2","DSFD: Dual Shot Face Detector","2018-10-24"
"PyramidBox","http://arxiv.org/abs/1803.07737v2","PyramidBox: A Context-assisted Single Shot Face Detector","2018-03-21"
"FDNet","http://arxiv.org/abs/1802.02142v1","Face Detection Using Improved Faster RCNN","2018-02-06"
